no,cert_type,level,subject,domain_area,q_type,item_purpose,difficulty,content,option_a,option_b,option_c,option_d,correct_answer,points,explanation,source_ref,shuffle_exempt,review_status,review_comment,version,created_by,created_date
1,AXIS,L3,AI 기본 이해,생성형 AI 개념,multiple_choice,concept,easy,다음 중 생성형 AI의 특징으로 가장 적절한 것은?,"텍스트, 이미지, 코드 등 새로운 형태의 결과물을 생성할 수 있다.",정해진 보기 중 하나만 반복적으로 선택하는 시스템이다.,항상 사실만을 출력하므로 검증이 필요 없다.,인터넷 검색 결과를 그대로 복사해 보여주는 도구이다.,A,2,"정답은 A입니다. 생성형 AI는 학습한 패턴을 바탕으로 텍스트, 이미지, 코드 등 새로운 형태의 산출물을 생성할 수 있는 기술입니다. 단순히 정해진 보기만 반복하거나 검색 결과를 그대로 복사하는 도구가 아니라, 사용자의 요청과 맥락에 맞춰 결과물을 구성합니다. 다만 생성된 내용이 항상 사실이거나 검증된 정보라는 의미는 아니므로, 업무 활용 시에는 사람이 결과를 확인해야 합니다. 이 문항은 생성형 AI의 기본 개념과 활용 범위를 이해하는지를 확인합니다.",AXIS L3 과목1 AI 기본 이해,False,approved,"정답키 과목별 균등배분, item_purpose 재분배, 난이도 과목별 균형 반영",1,,
2,AXIS,L3,AI 기본 이해,AI와 자동화의 차이,multiple_choice,concept,easy,AI와 단순 자동화 도구의 차이를 설명한 것으로 가장 적절한 것은?,AI는 입력된 규칙만 반복하고 자동화는 스스로 판단한다.,AI는 데이터와 맥락을 바탕으로 예측·생성·분류를 수행할 수 있다.,AI와 자동화는 기술적으로 완전히 같은 개념이다.,자동화는 항상 창의적인 결과물을 만들고 AI는 단순 반복만 한다.,B,2,"정답은 B입니다. 단순 자동화는 정해진 규칙과 절차를 반복 수행하는 성격이 강하지만, AI는 데이터와 맥락을 바탕으로 예측, 분류, 생성, 추천 등의 작업을 수행할 수 있습니다. 예를 들어 동일한 문서 작성 요청이라도 AI는 대상, 목적, 조건에 따라 다른 초안을 생성할 수 있습니다. 따라서 AI와 자동화는 모두 업무 효율을 높이는 도구이지만 작동 방식과 활용 범위가 다릅니다. 이 문항은 AI와 일반 자동화 도구의 차이를 구분하는 기초 이해를 평가합니다.",AXIS L3 과목1 AI 기본 이해,False,approved,"정답키 과목별 균등배분, item_purpose 재분배, 난이도 과목별 균형 반영",1,,
3,AXIS,L3,AI 기본 이해,LLM 기본 원리,multiple_choice,concept,easy,대규모언어모델(LLM)에 대한 설명으로 가장 적절한 것은?,사람의 감정을 그대로 복제해 판단하는 시스템이다.,많은 텍스트 데이터를 학습해 다음에 올 가능성이 높은 표현을 생성하는 모델이다.,데이터베이스에 저장된 정답만 검색해 보여주는 프로그램이다.,문서 파일의 글자 수를 세는 전용 프로그램이다.,B,2,"정답은 B입니다. 대규모언어모델은 많은 양의 텍스트 데이터를 학습하여 주어진 문맥에서 다음에 올 가능성이 높은 표현을 생성하는 모델입니다. 사용자의 질문에 대해 문장을 구성하고 요약, 번역, 설명, 분류와 같은 언어 기반 작업을 수행할 수 있습니다. 그러나 데이터베이스에서 정답을 그대로 조회하는 방식이 아니므로, 생성된 답변은 검증이 필요합니다. 이 문항은 LLM의 기본 작동 원리를 개념적으로 이해하는지를 확인합니다.",AXIS L3 과목1 AI 기본 이해,False,approved,"정답키 과목별 균등배분, item_purpose 재분배, 난이도 과목별 균형 반영",1,,
4,AXIS,L3,AI 기본 이해,할루시네이션,multiple_choice,concept,easy,AI의 ‘할루시네이션’에 대한 설명으로 가장 적절한 것은?,AI가 응답하지 못하고 멈추는 현상이다.,AI가 문장을 짧게 요약하는 기능이다.,AI가 사실과 다른 내용을 그럴듯하게 생성하는 현상이다.,AI가 사용자의 개인정보를 자동으로 암호화하는 기능이다.,C,2,"정답은 C입니다. 할루시네이션은 AI가 실제와 다른 정보나 근거가 부족한 내용을 그럴듯하게 생성하는 현상입니다. AI의 답변은 문장 구조가 자연스럽고 확신 있게 보일 수 있지만, 그 내용이 사실이라는 보장은 없습니다. 특히 수치, 법령, 정책, 출처가 필요한 정보는 반드시 별도로 확인해야 합니다. 이 문항은 AI 산출물 검증이 필요한 이유를 이해하는지를 평가합니다.",AXIS L3 과목1 AI 기본 이해,False,approved,"정답키 과목별 균등배분, item_purpose 재분배, 난이도 과목별 균형 반영",1,,
5,AXIS,L3,AI 기본 이해,AI의 한계,multiple_choice,concept,medium,업무에서 생성형 AI를 사용할 때 가장 적절한 태도는?,AI는 최신 법령과 사내 규정을 항상 정확히 알고 있다.,"AI 결과는 초안이나 보조자료로 활용하고, 중요한 내용은 사람이 검토해야 한다.",AI가 작성한 결과는 그대로 사용해도 된다.,AI가 작성한 문서는 출처 확인이 필요 없다.,B,2,"정답은 B입니다. 생성형 AI는 업무 초안 작성, 요약, 아이디어 도출 등에는 유용하지만 최종 판단을 대신하는 도구는 아닙니다. 중요한 문서, 외부 제출자료, 법령·계약·회계와 관련된 내용은 사람이 사실관계와 내부 기준을 검토해야 합니다. AI가 최신 규정이나 사내 정책을 항상 정확히 반영한다고 볼 수 없기 때문입니다. 이 문항은 AI 결과를 보조자료로 활용하고 최종 책임은 사람이 진다는 원칙을 확인합니다.",AXIS L3 과목1 AI 기본 이해,False,approved,"정답키 과목별 균등배분, item_purpose 재분배, 난이도 과목별 균형 반영",1,,
6,AXIS,L3,AI 기본 이해,AI 도구 유형,multiple_choice,concept,easy,다음 중 생성형 AI 도구의 활용 예로 보기 어려운 것은?,이미 정해진 비밀번호를 보안 절차 없이 공유하기,회의록 초안 작성,고객 안내문 문장 다듬기,보고서 목차 초안 생성,A,2,"정답은 A입니다. 비밀번호를 보안 절차 없이 공유하는 것은 생성형 AI 활용 사례가 아니라 명백한 보안 위반에 해당합니다. 생성형 AI는 회의록 초안, 고객 안내문, 보고서 목차와 같은 업무 산출물 생성에 활용할 수 있습니다. 그러나 계정 정보, 인증정보, 내부 보안자료는 AI 도구에 입력하거나 공유해서는 안 됩니다. 이 문항은 AI 활용 가능 업무와 보안상 금지해야 할 행동을 구분하는지를 평가합니다.",AXIS L3 과목1 AI 기본 이해,False,approved,"정답키 과목별 균등배분, item_purpose 재분배, 난이도 과목별 균형 반영",1,,
7,AXIS,L3,AI 기본 이해,AI 활용 범위,multiple_choice,concept,hard,사내 보고서 초안을 작성하기 위해 AI를 활용하려고 한다. 가장 적절한 사용 방식은?,사내 기밀자료 원문을 모두 입력하고 그대로 작성하게 한다.,AI가 작성한 보고서를 검토 없이 임원에게 바로 제출한다.,출처가 없는 통계를 AI에게 만들어 달라고 요청한다.,"보고서 목적, 대상, 목차 방향을 제시하고 초안을 받은 뒤 사람이 검토한다.",D,2,"정답은 D입니다. 사내 보고서 초안을 작성할 때는 보고서 목적, 읽는 대상, 목차 방향, 포함할 핵심 내용을 제시하고 AI가 만든 초안을 사람이 검토하는 방식이 적절합니다. 사내 기밀자료 원문을 그대로 입력하거나 검토 없이 임원에게 제출하는 것은 보안과 품질 측면에서 위험합니다. 출처 없는 통계를 만들어 달라는 요청도 부정확한 정보 사용으로 이어질 수 있습니다. 이 문항은 AI를 보고서 작성 보조도구로 안전하게 활용하는 판단 기준을 확인합니다.",AXIS L3 과목1 AI 기본 이해,False,approved,"정답키 과목별 균등배분, item_purpose 재분배, 난이도 과목별 균형 반영",1,,
8,AXIS,L3,AI 기본 이해,데이터와 학습,multiple_choice,concept,medium,AI가 좋은 결과를 내기 위해 사용자가 제공해야 하는 정보로 가장 적절한 것은?,아무 맥락 없이 ‘잘 써줘’라는 요청만 제공한다.,비밀번호와 고객 개인정보를 최대한 많이 제공한다.,"목적, 대상, 조건, 원하는 출력 형식 등 업무 맥락을 제공한다.",AI가 알아서 하도록 지시를 최소화한다.,C,2,"정답은 C입니다. AI가 좋은 결과를 내기 위해서는 사용자가 목적, 대상, 조건, 맥락, 원하는 출력 형식을 구체적으로 제공해야 합니다. 단순히 ‘잘 써줘’라고 요청하면 결과의 방향이 모호해지고 업무에 맞지 않는 산출물이 나올 수 있습니다. 반대로 개인정보나 비밀번호 같은 민감정보를 넣는 것은 보안상 부적절합니다. 이 문항은 프롬프트 품질이 AI 산출물 품질에 영향을 준다는 기본 원칙을 평가합니다.",AXIS L3 과목1 AI 기본 이해,False,approved,"정답키 과목별 균등배분, item_purpose 재분배, 난이도 과목별 균형 반영",1,,
9,AXIS,L3,AI 기본 이해,AI 결과 검증,multiple_choice,concept,easy,AI가 제시한 정보의 정확성을 확인하는 방법으로 가장 적절한 것은?,AI가 자신 있게 말했으므로 그대로 믿는다.,AI 답변이 길면 정확하다고 판단한다.,"공식 문서, 사내 기준, 원자료 등 신뢰 가능한 출처와 대조한다.",문장이 자연스러우면 사실이라고 판단한다.,C,2,"정답은 C입니다. AI가 제시한 정보는 문장이 자연스럽고 논리적으로 보여도 사실과 다를 수 있으므로, 공식 문서, 원자료, 신뢰 가능한 출처와 대조해야 합니다. 특히 수치, 정책, 법령, 외부 제출자료는 출처 확인이 필수입니다. AI의 답변 길이나 표현의 자연스러움은 정확성을 보장하지 않습니다. 이 문항은 AI 산출물의 정확성을 검증하는 기본 절차를 이해하는지를 확인합니다.",AXIS L3 과목1 AI 기본 이해,False,approved,"정답키 과목별 균등배분, item_purpose 재분배, 난이도 과목별 균형 반영",1,,
10,AXIS,L3,AI 기본 이해,생성형 AI와 검색,multiple_choice,concept,medium,생성형 AI와 일반 검색엔진의 차이로 가장 적절한 것은?,검색엔진은 문서를 요약할 수 없고 생성형 AI는 오류가 없다.,검색엔진은 무조건 거짓 정보를 제공한다.,생성형 AI는 검색엔진보다 항상 최신 정보를 제공한다.,"생성형 AI는 사용자의 요청에 맞춰 문장을 생성할 수 있지만, 출처 검증이 필요하다.",D,2,"정답은 D입니다. 생성형 AI는 사용자의 요청에 맞춰 문장을 생성하고 구조화된 답변을 제공할 수 있지만, 정보의 최신성이나 출처가 항상 보장되지는 않습니다. 일반 검색엔진은 웹 문서나 자료를 찾는 데 강점이 있고, 생성형 AI는 이를 이해하기 쉬운 형태로 정리하는 데 강점이 있습니다. 따라서 업무에서는 두 도구의 차이를 이해하고 필요에 따라 출처 검증을 병행해야 합니다. 이 문항은 생성형 AI와 검색엔진의 기능적 차이를 판단하는지를 평가합니다.",AXIS L3 과목1 AI 기본 이해,False,approved,"정답키 과목별 균등배분, item_purpose 재분배, 난이도 과목별 균형 반영",1,,
