no,cert_type,level,subject,domain_area,q_type,item_purpose,difficulty,content,option_a,option_b,option_c,option_d,correct_answer,points,explanation,source_ref,shuffle_exempt,review_status,review_comment,version,created_by,created_date
1,AXIS,L1,AI 도입 전략·ROI,AI 도입 우선순위 판단,multiple_choice,case_judgment,hard,팀장으로서 AI 도입 대상 업무를 선정할 때 가장 적절한 우선순위 판단 기준은?,가장 최신 AI 도구를 도입할 수 있는 업무를 우선 선정한다.,"반복 빈도·정형화 정도·시간 투자·데이터 가용성·리스크 수준을 종합 평가하는 매트릭스를 설계하고, 점수가 높은 업무부터 단계적으로 도입한다.",경영진이 원하는 업무를 우선 도입한다.,모든 업무에 동시에 AI를 도입하면 효율적이다.,B,4,정답은 B입니다. AI 도입 우선순위는 ①반복 빈도(높을수록 ROI 큼) ②정형화(규칙 기반일수록 적합) ③시간 투자(절감 효과 큼) ④데이터 가용성(AI 학습 가능) ⑤리스크(낮을수록 파일럿 적합)를 종합 매트릭스로 평가합니다. 단일 기준이 아닌 다차원 평가가 리더의 핵심 역량입니다.,AXIS L1 AI 도입 전략·ROI,False,approved,배치1,1,,
2,AXIS,L1,AI 도입 전략·ROI,ROI 산출 프레임워크,multiple_choice,governance,hard,AI 도입 프로젝트의 ROI를 경영진에게 보고할 때 가장 적절한 산출 프레임워크는?,AI 도입은 IT 부서가 단독으로 수행하면 현업의 참여 없이도 성공적으로 완료할 수 있다.,경영진 보고 시 AI의 기술적 사양과 알고리즘을 상세히 설명하면 투자 승인을 받을 수 있다.,"투입 비용(도구+교육+개발+운영)과 기대 효과(시간 절감×인건비+품질 향상+오류 감소)를 정량화하고, 비정량 효과(직원 만족도·조직 역량)를 별도 기술하여 종합 ROI를 산출한다.",AI 도입의 성과는 도구 사용 횟수로 측정하면 정확한 ROI를 산출할 수 있다.,C,4,"정답은 C입니다. AI ROI 산출은 ①투입(도구·교육·개발·운영 비용) ②정량 효과(시간×인건비, 오류 감소) ③비정량 효과(만족도·역량·혁신)를 종합합니다. 경영진은 ""얼마 투자하여 얼마 회수""를 원하므로 정량 지표가 핵심이고, 비정량은 보충입니다. 리더는 AI 도입의 방향을 설정하고 체계적인 관리 구조를 수립하는 핵심 역할을 합니다.",AXIS L1 AI 도입 전략·ROI,False,approved,배치1,1,,
3,AXIS,L1,AI 도입 전략·ROI,도입 사례 평가,multiple_choice,case_judgment,medium,타사의 AI 도입 성공 사례를 벤치마킹할 때 가장 적절한 평가 관점은?,"타사의 업종·규모·조직문화·기존 시스템과 자사의 차이를 분석하고, 적용 가능한 요소만 선별하여 자사 환경에 맞게 재설계한다.",성공 사례의 도구와 방법을 그대로 복제하면 된다.,성공 사례가 많은 도구를 선택하면 된다.,벤치마킹은 자사에 적용할 수 없으므로 불필요하다.,A,4,정답은 A입니다. 벤치마킹의 핵심은 맹목적 복제가 아닌 맥락 분석입니다. ①업종 차이 ②규모 차이 ③조직문화 ④기존 시스템 호환성을 분석하고 적용 가능한 요소만 선별합니다. 동일 도구라도 조직 환경이 다르면 결과가 달라질 수 있습니다. 리더는 조직 상황을 종합적으로 고려하여 AI 도입·운영에 관한 최적의 판단을 내려야 합니다.,AXIS L1 AI 도입 전략·ROI,False,approved,배치1,1,,
4,AXIS,L1,AI 도입 전략·ROI,도입 실패 요인 분석,multiple_choice,case_judgment,hard,AI 도입 프로젝트가 실패하는 가장 흔한 근본 원인으로 적절한 것은?,AI 도구의 기술 사양과 성능만 비교하면 조직에 최적인 도구를 선택할 수 있다.,파일럿 없이 전사 동시 도입하면 시간을 절약하고 모든 부서가 균등한 성과를 달성할 수 있다.,AI 도입의 성과는 도구 사용 횟수로 측정하면 정확한 ROI를 산출할 수 있다.,"명확한 업무 목표 없이 ""AI를 도입하자""는 기술 중심 접근, 현업 참여 부족, 변화관리 미흡, 성과 측정 기준 부재가 복합적으로 작용한다.",D,4,"정답은 D입니다. AI 도입 실패의 근본 원인은 대부분 기술이 아닌 ①목표 부재(""왜 도입하는가"") ②현업 미참여 ③변화관리 미흡 ④성과 기준 부재입니다. 리더는 기술 도입이 아닌 ""업무 문제 해결""을 목표로 설정해야 합니다. 리더는 조직 상황을 종합적으로 고려하여 AI 도입·운영에 관한 최적의 판단을 내려야 합니다.",AXIS L1 AI 도입 전략·ROI,False,approved,배치1,1,,
5,AXIS,L1,AI 도입 전략·ROI,KPI 설계,multiple_choice,governance,medium,조직의 AI 활용 KPI를 설계할 때 가장 적절한 구조는?,파일럿 없이 전사 동시 도입하면 시간을 절약하고 모든 부서가 균등한 성과를 달성할 수 있다.,조직의 모든 업무에 AI를 동시에 도입하면 전사적 변화를 빠르게 달성할 수 있어 가장 효율적이다.,선행 지표(교육 이수율·프롬프트 라이브러리 구축)와 후행 지표(업무 시간 절감·산출물 품질·비용 절감)를 분리하여 단기·중기·장기 KPI를 설계한다.,AI 도구의 기술 사양과 성능만 비교하면 조직에 최적인 도구를 선택할 수 있다.,C,4,"정답은 C입니다. AI KPI 설계는 ①선행 지표(투입: 교육·도구·프롬프트) ②후행 지표(성과: 시간·품질·비용) ③시간 축(단기: 활용률, 중기: 효율, 장기: 혁신)으로 구성합니다. 사용 횟수(활동)와 성과(결과)를 구분하는 것이 핵심입니다. 리더는 AI 도입의 방향을 설정하고 체계적인 관리 구조를 수립하는 핵심 역할을 합니다.",AXIS L1 AI 도입 전략·ROI,False,approved,배치1,1,,
6,AXIS,L1,AI 도입 전략·ROI,업무 분석 방법론,multiple_choice,governance,medium,AI 도입을 위한 업무 분석(As-Is) 시 가장 적절한 방법은?,조직의 AI 활용 역량은 도구 구매만으로 자동 확보되므로 교육 투자가 불필요하다.,AI 도구의 기술 사양과 성능만 비교하면 조직에 최적인 도구를 선택할 수 있다.,조직의 모든 업무에 AI를 동시에 도입하면 전사적 변화를 빠르게 달성할 수 있어 가장 효율적이다.,"현업 직원의 업무 일지(1~2주)를 기반으로 업무별 소요 시간·빈도·정형화 정도·데이터 의존도를 정량화하고, AI 적합성 매트릭스로 우선순위를 도출한다.",D,4,"정답은 D입니다. 업무 분석은 ①현업 업무 일지(실제 소요 시간·빈도) ②정형화 정도(규칙 vs 창의) ③데이터 의존도 ④AI 적합성 매트릭스로 수행합니다. 팀장 직관이 아닌 데이터 기반 분석이며, IT가 아닌 현업이 주도해야 합니다. 리더는 AI 도입의 방향을 설정하고 체계적인 관리 구조를 수립하는 핵심 역할을 합니다.",AXIS L1 AI 도입 전략·ROI,False,approved,배치1,1,,
7,AXIS,L1,AI 도입 전략·ROI,파일럿 설계,multiple_choice,case_judgment,medium,AI 도입 파일럿을 설계할 때 가장 적절한 방법은?,"1~2개 부서의 3~5개 업무를 선정하고, 2~4주간 시행하며, 성공 기준(시간 절감률, 품질, 만족도)을 사전 정의하고 측정한다. 파일럿 결과에 따라 확산·수정·중단을 판단한다.",조직의 AI 활용 역량은 도구 구매만으로 자동 확보되므로 교육 투자가 불필요하다.,AI 도구의 기술 사양과 성능만 비교하면 조직에 최적인 도구를 선택할 수 있다.,AI 도입의 성과는 도구 사용 횟수로 측정하면 정확한 ROI를 산출할 수 있다.,A,4,"정답은 A입니다. 파일럿 설계는 ①범위(1~2부서, 3~5업무) ②기간(2~4주) ③성공 기준(사전 정의) ④측정·판단(확산/수정/중단)의 구조입니다. 범위를 제한하여 리스크를 낮추고, 성공 기준을 사전에 합의하는 것이 핵심입니다. 리더는 조직 상황을 종합적으로 고려하여 AI 도입·운영에 관한 최적의 판단을 내려야 합니다.",AXIS L1 AI 도입 전략·ROI,False,approved,배치1,1,,
8,AXIS,L1,AI 도입 전략·ROI,비용 편익 분석,multiple_choice,governance,hard,AI 도입의 비용 편익 분석(CBA)에서 가장 간과하기 쉬운 숨은 비용은?,AI 도입 프로젝트의 리스크는 도구 성능에만 존재하므로 조직·보안·법적 리스크는 고려할 필요가 없다.,AI 도입의 성과는 도구 사용 횟수로 측정하면 정확한 ROI를 산출할 수 있다.,"교육·온보딩 비용, 프롬프트 개발·최적화 시간, 기존 워크플로우 재설계 비용, 초기 생산성 저하(학습 곡선), 보안 점검·정책 수립 비용이 숨은 비용이다.",조직의 모든 업무에 AI를 동시에 도입하면 전사적 변화를 빠르게 달성할 수 있어 가장 효율적이다.,C,4,정답은 C입니다. AI 도입의 숨은 비용에는 ①교육·온보딩 ②프롬프트 개발 시간 ③워크플로우 재설계 ④학습 곡선(초기 생산성 저하) ⑤보안·정책 수립이 포함됩니다. 이를 간과하면 ROI가 과대 추정되어 경영진 기대와 실제 성과의 괴리가 발생합니다. 리더는 AI 도입의 방향을 설정하고 체계적인 관리 구조를 수립하는 핵심 역할을 합니다.,AXIS L1 AI 도입 전략·ROI,False,approved,배치1,1,,
9,AXIS,L1,AI 도입 전략·ROI,도입 전략 유형,multiple_choice,concept,medium,조직의 AI 도입 전략 유형으로 가장 적절한 분류는?,AI 도입 프로젝트의 리스크는 도구 성능에만 존재하므로 조직·보안·법적 리스크는 고려할 필요가 없다.,파일럿 없이 전사 동시 도입하면 시간을 절약하고 모든 부서가 균등한 성과를 달성할 수 있다.,AI 도구의 기술 사양과 성능만 비교하면 조직에 최적인 도구를 선택할 수 있다.,"①탑다운(경영진 주도 전사 전략) ②바텀업(현업 자발적 활용 확산) ③하이브리드(경영진 방향+현업 실행)로 분류하고, 조직 문화와 성숙도에 맞는 유형을 선택한다.",D,4,"정답은 D입니다. AI 도입 전략은 ①탑다운(빠른 추진, 현업 저항 위험) ②바텀업(수용도 높음, 방향 분산 위험) ③하이브리드(방향은 경영진, 실행은 현업)로 분류합니다. 리더는 조직의 문화·성숙도에 맞는 전략을 선택해야 합니다. 이 개념을 정확히 이해하면 조직의 AI 전환을 전략적으로 이끌 수 있습니다.",AXIS L1 AI 도입 전략·ROI,False,approved,배치1,1,,
10,AXIS,L1,AI 도입 전략·ROI,AI 도입 로드맵,multiple_choice,governance,medium,조직의 AI 도입 로드맵을 수립할 때 가장 적절한 구조는?,조직의 AI 활용 역량은 도구 구매만으로 자동 확보되므로 교육 투자가 불필요하다.,조직의 모든 업무에 AI를 동시에 도입하면 전사적 변화를 빠르게 달성할 수 있어 가장 효율적이다.,AI 도입의 성과는 도구 사용 횟수로 측정하면 정확한 ROI를 산출할 수 있다.,Phase1 준비(1~2개월: 업무 분석·도구 선정·정책 수립) → Phase2 파일럿(2~3개월: 시범 부서·측정) → Phase3 확산(3~6개월: 전사·교육·표준화) → Phase4 최적화(지속: 성과 개선)의 단계별 로드맵을 수립한다.,D,4,"정답은 D입니다. AI 도입 로드맵은 준비→파일럿→확산→최적화의 단계별 구조입니다. 각 단계의 목표·산출물·판단 기준을 사전 정의하고, 단계 전환 시 의사결정 게이트를 두는 것이 리더의 역할입니다. 리더는 AI 도입의 방향을 설정하고 체계적인 관리 구조를 수립하는 핵심 역할을 합니다. 리더는 AI 도입의 방향을 설정하고 체계적인 관리 구조를 수립하여 조직의 AI 전환을 이끌어야 합니다.",AXIS L1 AI 도입 전략·ROI,False,approved,배치1,1,,
