no,cert_type,level,subject,domain_area,q_type,item_purpose,difficulty,content,option_a,option_b,option_c,option_d,correct_answer,points,explanation,source_ref,shuffle_exempt,review_status,review_comment,version,created_by,created_date
1,AXIS-H,L2,의료기관 업무 AI 도구 활용,원무 업무 AI 자동화,multiple_choice,tool_use,medium,원무과에서 입퇴원 안내를 AI로 자동화할 때 가장 적절한 방법은?,AI 결과물의 의학적 정확성은 AI가 자동으로 보장하므로 전문가 확인이 필요하지 않다.,"입퇴원 절차·준비물·면회·비용 등 포함 항목을 제시하고, 환자 눈높이 표현·면책 문구를 지정하여 부서별 표준 템플릿을 설계한다. 담당자가 반드시 검토한다.",의료기관 안내문에 면책 문구를 포함하면 오히려 환자의 신뢰가 떨어지므로 생략하는 것이 좋다.,환자 정보를 AI에 입력하더라도 내부 네트워크를 사용하면 유출 위험이 전혀 없다.,B,4,"정답은 B입니다. 원무 업무 AI 자동화는 포함 항목을 구체적으로 제시하고, 환자 눈높이 표현과 면책 문구를 포함한 표준 템플릿을 설계하는 것이 핵심입니다. 환자 개인정보는 절대 AI에 입력하면 안 되며, 담당자 검토는 필수입니다. 이 문항은 원무 AI 자동화 설계 역량을 확인합니다. 의료기관에서 AI 도구를 효과적으로 활용하려면 체계적 접근과 검증, 보안 준수가 필수적입니다.",AXIS-H L2 의료기관 업무 AI 도구 활용,False,approved,배치1 신규 출제,1,,
2,AXIS-H,L2,의료기관 업무 AI 도구 활용,CS 응대 AI 활용,multiple_choice,tool_use,medium,CS팀에서 환자 민원 답변 초안을 AI로 작성할 때 가장 적절한 방법은?,"민원에서 개인정보를 제거하고 핵심·유형·정책을 제시하여 공감적 톤의 초안을 요청한 후, 담당자가 맞춤 내용을 추가하고 최종 검토한다.",의료기관 안내문에 면책 문구를 포함하면 오히려 환자의 신뢰가 떨어지므로 생략하는 것이 좋다.,AI 결과물의 의학적 정확성은 AI가 자동으로 보장하므로 전문가 확인이 필요하지 않다.,AI가 생성한 의료기관 문서는 모든 환경에서 동일하게 적용되므로 별도 검토가 불필요하다.,A,4,"정답은 A입니다. CS 민원 AI 워크플로우는 개인정보 제거→핵심·유형·정책 제시→공감적 톤 지정→초안 생성→담당자 맞춤+검토→발송의 순서입니다. 민원 응대는 공감 표현이 중요하므로 톤 지정이 핵심이며 개인정보 보호가 전제됩니다. 이 문항은 CS 업무 AI 활용을 확인합니다. 의료기관에서 AI 도구를 효과적으로 활용하려면 체계적 접근과 검증, 보안 준수가 필수적입니다.",AXIS-H L2 의료기관 업무 AI 도구 활용,False,approved,배치1 신규 출제,1,,
3,AXIS-H,L2,의료기관 업무 AI 도구 활용,감염관리 교육 AI,multiple_choice,case_judgment,hard,감염관리 직원 교육용 손위생 콘텐츠를 AI로 제작할 때 가장 주의할 점은?,AI가 최신 감염관리 지침을 항상 정확히 반영한다.,감염관리 교육에 AI를 사용할 수 없다.,"AI 초안의 감염관리 수치(손위생 시간·소독제 농도)를 질병관리청·WHO 최신 지침과 교차 확인하고, 감염관리간호사가 검증한 후 배포한다.",AI가 만든 감염관리 교육은 검증 없이 사용해도 된다.,C,4,"정답은 C입니다. 감염관리 콘텐츠에서 AI가 제시하는 수치는 할루시네이션 위험이 있으며, 잘못된 정보가 배포되면 감염 사고로 이어질 수 있습니다. 최신 지침과 교차 확인 후 전문가 검증이 필수입니다. 이 문항은 감염관리 AI 활용의 리스크 판단 역량을 확인합니다. 의료기관 실무에서 AI 활용의 최적 판단을 위해서는 환자 안전과 법적 요구사항을 종합적으로 고려해야 합니다.",AXIS-H L2 의료기관 업무 AI 도구 활용,False,approved,배치1 신규 출제,1,,
4,AXIS-H,L2,의료기관 업무 AI 도구 활용,홍보 콘텐츠 AI,multiple_choice,tool_use,easy,의료기관 SNS 홍보를 AI로 제작할 때 가장 적절한 방법은?,AI 콘텐츠를 검토 없이 게시한다.,의료기관 홍보에 AI를 사용할 수 없다.,"주제·대상·톤·분량을 지정하고 AI 초안 생성 후, 의료광고법 위반 여부를 확인하고 면책 문구를 포함하여 게시한다.",AI 홍보물에는 의료광고법이 적용되지 않는다.,C,4,"정답은 C입니다. 의료기관 SNS 콘텐츠에는 의료광고법이 적용됩니다. AI 초안에 허위·과대 표현이 포함되면 법적 제재를 받을 수 있으므로, 반드시 의료광고법 기준으로 검토하고 면책 문구를 포함합니다. 이 문항은 의료기관 홍보 AI 활용의 법적 주의점을 확인합니다. 의료기관에서 AI 도구를 효과적으로 활용하려면 체계적 접근과 검증, 보안 준수가 필수적입니다.",AXIS-H L2 의료기관 업무 AI 도구 활용,False,approved,배치1 신규 출제,1,,
5,AXIS-H,L2,의료기관 업무 AI 도구 활용,QI 보고서 AI 작성,multiple_choice,tool_use,medium,QI 활동 보고서를 AI로 작성할 때 가장 적절한 방법은?,의료기관 안내문에 면책 문구를 포함하면 오히려 환자의 신뢰가 떨어지므로 생략하는 것이 좋다.,AI가 생성한 의료 문서는 전문가 검토 없이도 환자에게 배포할 수 있을 정도로 항상 정확하다.,AI가 생성한 의료기관 문서는 모든 환경에서 동일하게 적용되므로 별도 검토가 불필요하다.,"QI 주제·비식별 현황 데이터·개선 활동·결과를 제시하고 보고서 구조(배경→현황→활동→결과→계획)로 초안을 요청한 후, 수치의 정확성을 담당자가 검증한다.",D,4,"정답은 D입니다. QI 보고서 AI 작성은 구조화된 정보를 입력하고 보고서 형식으로 초안을 생성합니다. AI는 구조를 잡아주지만 수치와 분석은 담당자가 검증해야 합니다. 데이터 입력 시 환자 식별 정보는 비식별 처리해야 합니다. 이 문항은 QI 보고서 AI 활용을 확인합니다. 의료기관에서 AI 도구를 효과적으로 활용하려면 체계적 접근과 검증, 보안 준수가 필수적입니다.",AXIS-H L2 의료기관 업무 AI 도구 활용,False,approved,배치1 신규 출제,1,,
6,AXIS-H,L2,의료기관 업무 AI 도구 활용,부서별 AI 도구 배정,multiple_choice,tool_use,hard,의료기관 부서별(원무·간호·총무·홍보)에 최적 AI 도구를 배정하는 방법은?,"부서별 주요 업무를 분석하고 업무별 최적 도구를 매칭하되, 보안 정책(환자정보 처리 기준)을 충족하는 승인된 도구만 배정한다.",환자 정보를 AI에 입력하더라도 내부 네트워크를 사용하면 유출 위험이 전혀 없다.,의료기관에서 AI 도구를 사용할 때 환자 동의나 별도의 승인 절차는 필요하지 않다.,AI가 생성한 의료기관 문서는 모든 환경에서 동일하게 적용되므로 별도 검토가 불필요하다.,A,4,"정답은 A입니다. 부서별 AI 도구 배정은 업무 분석→도구 매칭→보안 확인→승인 도구 배정 과정을 따릅니다. 자유 선택은 보안 위험이 크며, 동일 도구는 업무 특성 차이를 반영하지 못합니다. 이 문항은 부서별 AI 도구 전략 수립 역량을 확인합니다. 의료기관에서 AI 도구를 효과적으로 활용하려면 체계적 접근과 검증, 보안 준수가 필수적입니다.",AXIS-H L2 의료기관 업무 AI 도구 활용,False,approved,배치1 신규 출제,1,,
7,AXIS-H,L2,의료기관 업무 AI 도구 활용,환자 교육자료 표준화,multiple_choice,case_judgment,medium,AI를 활용하여 환자 교육자료를 표준화할 때 가장 적절한 방법은?,각 부서가 자유롭게 AI로 교육자료를 만든다.,표준화하면 맞춤형 교육이 불가능하다.,AI 교육자료는 표준화가 불필요하다.,질환별 표준 템플릿(구조·톤·분량·면책 위치)을 설계하고 프롬프트 템플릿으로 관리한다. 의료진이 내용을 검증한다.,D,4,정답은 D입니다. 환자 교육자료 표준화는 템플릿 설계→프롬프트 관리→의료진 검증 구조입니다. 표준화는 형식의 일관성이지 내용의 획일화가 아니므로 질환별 맞춤이 가능합니다. 이 문항은 교육자료 표준화에서 AI 활용 전략을 확인합니다. 의료기관 실무에서 AI 활용의 최적 판단을 위해서는 환자 안전과 법적 요구사항을 종합적으로 고려해야 합니다.,AXIS-H L2 의료기관 업무 AI 도구 활용,False,approved,배치1 신규 출제,1,,
8,AXIS-H,L2,의료기관 업무 AI 도구 활용,다국어 안내문 변환,multiple_choice,tool_use,medium,외국인 환자용 다국어 안내문을 AI로 변환할 때 가장 적절한 방법은?,의료기관 안내문에 면책 문구를 포함하면 오히려 환자의 신뢰가 떨어지므로 생략하는 것이 좋다.,AI 결과물의 의학적 정확성은 AI가 자동으로 보장하므로 전문가 확인이 필요하지 않다.,AI가 생성한 의료기관 문서는 모든 환경에서 동일하게 적용되므로 별도 검토가 불필요하다.,"원본과 목표 언어·의학 용어 처리·문화적 맥락을 지정하여 번역 요청한 후, 해당 언어 전문가와 의료 용어 전문가가 검토한다.",D,4,"정답은 D입니다. 다국어 안내문 AI 변환은 원본→언어·용어·맥락 지정→번역→전문가 검토 순서입니다. 의학 용어 번역은 할루시네이션 위험이 높으므로 전문가 검토가 필수적입니다. 이 문항은 다국어 안내문 AI 활용 역량을 확인합니다. 의료기관에서 AI 도구를 효과적으로 활용하려면 체계적 접근과 검증, 보안 준수가 필수적입니다.",AXIS-H L2 의료기관 업무 AI 도구 활용,False,approved,배치1 신규 출제,1,,
9,AXIS-H,L2,의료기관 업무 AI 도구 활용,AI 산출물 검증 체크리스트,multiple_choice,case_judgment,medium,의료기관 AI 산출물 검증 체크리스트에 반드시 포함해야 할 항목은?,프롬프트에 면책 문구 조건을 넣지 않아도 AI가 자동으로 적절한 면책 문구를 포함해준다.,의료기관 안내문에 면책 문구를 포함하면 오히려 환자의 신뢰가 떨어지므로 생략하는 것이 좋다.,①의학적 정확성 ②환자 개인정보 미포함 ③의료행위 오인 표현 없음 ④면책 문구 포함 ⑤최신 지침 반영 ⑥대상 적합성을 포함한다.,환자 정보를 AI에 입력하더라도 내부 네트워크를 사용하면 유출 위험이 전혀 없다.,C,4,정답은 C입니다. 의료기관 AI 산출물 검증 체크리스트는 정확성·개인정보·오인 방지·면책·지침·적합성의 6항목을 포함합니다. 이 체크리스트를 표준화하면 누가 검토하든 일관된 품질을 보장할 수 있습니다. 이 문항은 AI 산출물 검증 체계 설계를 확인합니다. 의료기관 실무에서 AI 활용의 최적 판단을 위해서는 환자 안전과 법적 요구사항을 종합적으로 고려해야 합니다.,AXIS-H L2 의료기관 업무 AI 도구 활용,False,approved,배치1 신규 출제,1,,
10,AXIS-H,L2,의료기관 업무 AI 도구 활용,업무 매뉴얼 AI 구성,multiple_choice,tool_use,easy,부서 업무 매뉴얼을 AI로 구성할 때 가장 적절한 방법은?,의료기관 안내문에 면책 문구를 포함하면 오히려 환자의 신뢰가 떨어지므로 생략하는 것이 좋다.,"업무 목록·절차·담당자·주의사항을 입력하되 환자 정보와 시스템 접속 정보는 제외하고, 매뉴얼 구조(목적→절차→FAQ→연락처)로 정리를 요청한다.",의료기관 내부 네트워크에서 AI를 사용하면 환자 정보가 외부로 유출될 위험이 전혀 없다.,AI 결과물의 의학적 정확성은 AI가 자동으로 보장하므로 전문가 확인이 필요하지 않다.,B,4,"정답은 B입니다. 업무 매뉴얼 AI 구성은 업무 정보를 구조화하여 입력하되, 환자 정보와 시스템 접속 정보를 제외합니다. 보안 정보는 별도 보안 채널로 관리합니다. 이 문항은 매뉴얼 작성에서 AI 활용과 보안을 확인합니다. 의료기관에서 AI 도구를 효과적으로 활용하려면 체계적 접근과 검증, 보안 준수가 필수적입니다.",AXIS-H L2 의료기관 업무 AI 도구 활용,False,approved,배치1 신규 출제,1,,
