no,cert_type,level,subject,domain_area,q_type,item_purpose,difficulty,content,option_a,option_b,option_c,option_d,correct_answer,points,explanation,source_ref,shuffle_exempt,review_status,review_comment,version,created_by,created_date
1,AXIS,L2,AI 도구 선택·활용 전략,업무별 AI 도구 선택,multiple_choice,tool_use,medium,"마케팅팀에서 ①블로그 글 초안 작성, ②고객 리뷰 감성 분석, ③SNS 이미지 생성을 동시에 수행해야 할 때 가장 적절한 AI 도구 조합 전략은?",하나의 AI 도구로 세 가지를 모두 처리한다.,세 가지 작업을 순서대로 한 명이 수작업으로 처리한다.,각 작업에 특화된 AI 도구(텍스트 생성 AI + 데이터 분석 AI + 이미지 생성 AI)를 조합하여 사용한다.,AI 도구 없이 외주 업체에 모두 위탁한다.,C,4,"정답은 C입니다. 업무 성격이 다른 복수 작업(텍스트 생성, 데이터 분석, 이미지 생성)을 처리할 때는 각 작업에 최적화된 AI 도구를 조합하는 것이 효과적입니다. 하나의 범용 AI가 모든 작업을 최적 수준으로 처리하기 어려우며, 각 도구의 강점을 활용하면 품질과 효율 모두 높아집니다. 도구 간 워크플로우를 설계하는 것이 L2 수준의 핵심 역량입니다.",AXIS L2 AI 도구 선택·활용 전략,False,approved,배치1 신규 출제,1,,
2,AXIS,L2,AI 도구 선택·활용 전략,AI 도구 비용 효율성,multiple_choice,tool_use,medium,"팀에서 월 50건의 보고서 초안을 AI로 작성하려 할 때, 무료 AI와 유료 AI(월 $20) 중 선택 기준으로 가장 적절한 것은?",복수의 AI 도구를 사용하면 보안 위험이 감소한다.,"월 50건 처리 시 무료 AI의 토큰 한도·응답 품질·보안 정책이 업무 요구를 충족하는지 검토하고, 부족하면 유료 전환의 ROI를 산출한다.",유료 AI가 항상 더 정확하므로 무조건 유료를 선택한다.,비용은 고려하지 않고 가장 유명한 AI를 선택한다.,B,4,"정답은 B입니다. AI 도구를 선택할 때는 단순한 가격이 아니라 토큰 한도(월 사용량 충분한지), 응답 품질(보고서 수준에 적합한지), 보안 정책(사내 데이터 처리 기준 충족), 비용 대비 효과(ROI)를 종합적으로 판단해야 합니다. 무료 AI의 한계가 업무 병목이 되면 유료 전환이 효율적일 수 있습니다. 이 문항은 AI 도구 비용 효율성 판단 능력을 확인합니다.",AXIS L2 AI 도구 선택·활용 전략,False,approved,배치1 신규 출제,1,,
3,AXIS,L2,AI 도구 선택·활용 전략,AI 산출물 품질 검증,multiple_choice,case_judgment,hard,"팀원이 AI로 작성한 시장 분석 보고서에 ""2025년 국내 SaaS 시장 규모는 4.8조원""이라는 수치가 포함되어 있다. 가장 적절한 검증 방법은?",수치가 구체적이므로 정확하다고 판단하고 그대로 사용한다.,"AI가 제시한 수치의 원본 출처를 요청하고, 해당 출처(통계청, 리서치 기관 보고서 등)에서 직접 확인하여 일치 여부를 검증한다.",다른 AI에 같은 질문을 해서 같은 수치가 나오면 정확하다고 판단한다.,수치를 삭제하고 정성적 표현으로 대체한다.,B,4,"정답은 B입니다. AI가 제시하는 구체적 수치는 할루시네이션일 가능성이 높습니다. 검증 방법은 ①AI에게 출처를 요청 ②해당 출처(통계청, IDC, 가트너 등)에서 직접 확인 ③최신 데이터인지 시점 확인의 순서입니다. 다른 AI에 같은 질문을 하는 것은 교차 검증이 아닙니다(같은 학습 데이터를 공유할 수 있음). 이 문항은 AI 산출물의 수치 검증 능력을 확인합니다.",AXIS L2 AI 도구 선택·활용 전략,False,approved,배치1 신규 출제,1,,
4,AXIS,L2,AI 도구 선택·활용 전략,업무 자동화 설계,multiple_choice,tool_use,hard,"인사팀에서 매월 반복되는 ""급여 명세서 발송 → 미확인자 리마인더 → 확인 현황 집계"" 프로세스를 AI로 자동화하려 할 때 가장 적절한 접근은?",AI에게 전체 프로세스를 한 번에 자동화해달라고 요청한다.,가장 최신 버전의 AI 도구가 항상 가장 좋은 결과를 보장한다.,AI가 생성한 결과물의 정확성은 AI가 자동으로 보장하므로 별도 검증 절차가 불필요하다.,각 단계를 분리하여 ①명세서 템플릿 생성(AI) ②발송 트리거(자동화 도구) ③미확인자 필터링(스프레드시트+AI) ④리마인더 문구 생성(AI) ⑤현황 집계(데이터 도구)로 워크플로우를 설계한다.,D,4,"정답은 D입니다. 복합 업무 프로세스의 AI 자동화는 각 단계를 분리하여 적합한 도구를 배정하는 것이 핵심입니다. AI가 모든 것을 한 번에 처리하는 것이 아니라, AI(문구 생성) + 자동화 도구(트리거·발송) + 데이터 도구(필터링·집계)를 조합합니다. 급여 정보는 비식별 처리 후 AI에 입력하거나, AI는 템플릿만 생성하고 데이터는 사내 시스템에서 처리합니다. 이 문항은 AI 기반 업무 자동화 설계 능력을 확인합니다.",AXIS L2 AI 도구 선택·활용 전략,False,approved,배치1 신규 출제,1,,
5,AXIS,L2,AI 도구 선택·활용 전략,AI 도구 보안 평가,multiple_choice,tool_use,medium,기업에서 새로운 AI 도구 도입 시 보안 측면에서 가장 먼저 평가해야 할 항목은?,한 번 효과적이었던 프롬프트는 어떤 업무에도 동일하게 적용할 수 있다.,경쟁사 분석 보고서는 AI가 자체적으로 데이터를 수집하므로 별도 검증이 불필요하다.,"데이터 처리 위치(국내/해외), 학습 활용 여부(opt-out 가능 여부), 암호화 방식, SOC2/ISO27001 등 보안 인증 보유 여부",AI 기반 업무 자동화는 IT 부서만 설계할 수 있다.,C,4,"정답은 C입니다. 기업용 AI 도구 도입 시 보안 평가는 ①데이터 처리 위치(국내법 적용 여부) ②입력 데이터의 학습 활용 여부 ③전송·저장 시 암호화 방식 ④보안 인증(SOC2, ISO27001) 보유 여부를 우선 확인합니다. 이러한 항목은 기업의 정보보안 정책과 직접 연관되며, 보안 미달 도구 사용 시 데이터 유출 위험이 발생합니다. 이 문항은 AI 도구의 보안 평가 역량을 확인합니다.",AXIS L2 AI 도구 선택·활용 전략,False,approved,배치1 신규 출제,1,,
6,AXIS,L2,AI 도구 선택·활용 전략,멀티턴 대화 활용,multiple_choice,tool_use,medium,AI와의 멀티턴(다회차) 대화를 통해 보고서를 작성할 때 가장 효과적인 전략은?,①구조 잡기 → ②각 섹션 초안 생성 → ③구체화·수정 → ④전체 톤 통일 → ⑤최종 검토 순서로 단계별 대화를 진행한다.,한 번의 프롬프트에 모든 조건을 넣어 최종본을 바로 요청한다.,매번 새 대화를 시작하여 각 섹션을 독립적으로 작성한다.,첫 번째 결과를 수정 없이 사용한다.,A,4,정답은 A입니다. 멀티턴 대화를 활용한 보고서 작성은 단계별로 진행하는 것이 효과적입니다. ①전체 구조(목차) 설정 ②각 섹션 초안 ③구체적 수치·사례 보강 ④전체 톤·문체 통일 ⑤최종 검토의 순서로 진행하면 맥락이 유지되어 일관된 보고서를 얻을 수 있습니다. 매번 새 대화를 시작하면 맥락이 끊깁니다. 이 문항은 멀티턴 대화 활용 전략을 확인합니다.,AXIS L2 AI 도구 선택·활용 전략,False,approved,배치1 신규 출제,1,,
7,AXIS,L2,AI 도구 선택·활용 전략,AI 결과물 편집 전략,multiple_choice,case_judgment,medium,"AI가 작성한 제안서 초안이 전체적으로 좋지만, 도입부가 너무 일반적이고 경쟁사 비교 부분이 부정확하다. 가장 효율적인 수정 방법은?","도입부에 대해 ""우리 회사의 핵심 강점과 고객 Pain Point를 반영하여 더 구체적으로 재작성해줘""라고 요청하고, 경쟁사 비교는 검증된 데이터를 직접 입력하여 AI에게 형식만 재구성하도록 한다.",경영진에게 AI 도입 성과를 보고할 때는 기술 사양을 상세히 설명하는 것이 가장 효과적이다.,AI가 생성한 결과물의 정확성은 AI가 자동으로 보장하므로 별도 검증 절차가 불필요하다.,AI 자동화는 반복 빈도와 관계없이 모든 업무에 동일한 효과를 준다.,A,4,"정답은 A입니다. AI 결과물의 부분 수정은 ①문제 영역을 특정하고 ②구체적 개선 방향을 제시하는 것이 효율적입니다. 도입부는 방향을 구체적으로 지시하고, 경쟁사 비교처럼 사실 검증이 필요한 부분은 검증된 데이터를 사용자가 제공하여 AI가 형식만 정리하도록 합니다. ""더 좋게""는 방향이 모호합니다. 이 문항은 AI 결과물의 전략적 편집 능력을 확인합니다.",AXIS L2 AI 도구 선택·활용 전략,False,approved,배치1 신규 출제,1,,
8,AXIS,L2,AI 도구 선택·활용 전략,도구 간 연동 설계,multiple_choice,tool_use,hard,"영업팀에서 ""CRM 데이터 → AI 분석 → 주간 리포트 → 이메일 자동 발송""을 구현하려 할 때 가장 적절한 설계 방식은?",AI에게 CRM 접속 권한을 주고 모든 것을 자동으로 처리하게 한다.,CRM에서 비식별 데이터를 CSV로 추출 → AI에 분석 요청(프롬프트 템플릿 사용) → 결과를 리포트 템플릿에 삽입 → 자동화 도구(Zapier 등)로 이메일 발송하는 워크플로우를 설계한다.,CRM과 AI를 직접 API로 연결하면 보안 검토 없이도 안전하다.,AI가 제시한 리스크 분석은 별도 검증 없이 프로젝트 계획에 반영할 수 있다.,B,4,"정답은 B입니다. 도구 간 연동 설계의 핵심은 데이터 흐름을 단계별로 분리하고, 각 단계에서 보안과 품질을 관리하는 것입니다. CRM 데이터를 비식별 처리하여 추출하고, AI에는 프롬프트 템플릿으로 일관된 분석을 요청하며, 결과를 사전 설계된 리포트 형식에 삽입하고, 자동화 도구로 발송합니다. AI에 직접 CRM 접속 권한을 주면 보안 위험이 큽니다.",AXIS L2 AI 도구 선택·활용 전략,False,approved,배치1 신규 출제,1,,
9,AXIS,L2,AI 도구 선택·활용 전략,AI 활용 ROI 측정,multiple_choice,case_judgment,medium,팀에 AI 도구를 도입한 지 3개월이 지났다. AI 도입의 ROI를 측정하는 방법으로 가장 적절한 것은?,AI 도구의 사용 횟수만으로 ROI를 판단한다.,"도입 전후의 업무 소요 시간, 산출물 품질(수정 횟수 감소), 직원 만족도, AI 도구 비용을 종합하여 정량·정성 지표로 측정한다.",ROI는 1년 이상 경과해야 측정할 수 있다.,직원이 AI를 많이 사용하면 ROI가 높다고 판단한다.,B,4,"정답은 B입니다. AI 도입 ROI 측정은 ①정량 지표(업무 소요 시간 변화, 산출물 수정 횟수 감소, 비용 절감) ②정성 지표(직원 만족도, 업무 품질 변화) ③투입 비용(도구 비용, 교육 비용)을 종합하여 평가합니다. 단순 사용 횟수는 효과가 아닌 활용도만 나타내며, 실제 성과(시간 절감, 품질 향상)와 연결해야 합니다. 이 문항은 AI 도입 ROI 측정 능력을 확인합니다.",AXIS L2 AI 도구 선택·활용 전략,False,approved,배치1 신규 출제,1,,
10,AXIS,L2,AI 도구 선택·활용 전략,AI 자동화 후보 평가,multiple_choice,case_judgment,medium,다음 업무 중 AI 자동화 우선순위가 가장 높은 것은?,월 1회 수행하는 전략 보고서 작성,"주 5회 반복, 정형화된 양식, 30분 소요되는 일일 매출 현황 요약 보고",연 1회 수행하는 인사 평가 면담,고객과의 신규 계약 협상,B,4,"정답은 B입니다. AI 자동화 우선순위 평가 기준은 ①반복 빈도(주 5회) ②정형화 정도(양식 고정) ③시간 투자(30분×5=주 2.5시간) ④AI 대체 가능성(데이터 요약은 AI 적합)입니다. 일일 매출 현황 요약은 이 모든 기준에서 높은 점수를 받습니다. 전략 보고서는 빈도가 낮고, 면담과 협상은 대인 소통이 핵심이라 자동화 적합성이 낮습니다.",AXIS L2 AI 도구 선택·활용 전략,False,approved,배치1 신규 출제,1,,
