no,cert_type,level,subject,domain_area,q_type,item_purpose,difficulty,content,option_a,option_b,option_c,option_d,correct_answer,points,explanation,source_ref,shuffle_exempt,review_status,review_comment,version,created_by,created_date
1,AXIS-C,L3,AI 코딩 기본 이해,AI 코딩 개념,multiple_choice,concept,medium,AI 코딩 도구의 주요 역할로 가장 적절한 것은?,작성된 코드를 항상 오류 없이 완성하는 것이다.,개발자의 모든 책임을 대신 지는 것이다.,"사용자의 요청을 바탕으로 코드 초안, 수정안, 설명 등을 생성하는 것이다.",컴퓨터 없이 프로그램을 실행하는 것이다.,C,2,"정답은 C입니다. AI 코딩 도구는 사용자의 요청을 바탕으로 코드 초안, 수정안, 코드 설명, 디버깅 방향 등을 제안하는 보조 도구입니다. 개발자의 판단과 검증을 완전히 대체하는 도구가 아니며, 생성된 코드는 실행 테스트와 요구사항 확인을 거쳐야 합니다. 이 문항은 AI 코딩 도구의 기본 역할을 이해하는지를 확인합니다.",AXIS-C L3 과목1 AI 코딩 기본 이해,False,approved,"정답키 균등, 선택지 균형, 해설 보강, 코드 추가, 난이도 과목별 균형 반영",1,,
2,AXIS-C,L3,AI 코딩 기본 이해,AI 코딩의 한계,multiple_choice,concept,medium,AI가 생성한 코드를 사용할 때 가장 적절한 태도는?,AI가 만든 코드는 검토 없이 배포해도 된다.,AI가 만든 코드는 저작권과 라이선스 검토가 필요 없다.,코드가 길면 반드시 좋은 코드라고 판단한다.,실행해 보고 요구사항과 보안 문제를 확인한 뒤 사용한다.,D,2,"정답은 D입니다. AI가 생성한 코드는 요구사항을 정확히 반영하지 못하거나 실행 오류, 보안 취약점, 라이선스 이슈를 포함할 수 있습니다. 따라서 코드는 반드시 실행해 보고 결과가 의도와 맞는지 확인해야 합니다. 이 문항은 AI 생성 코드의 검증 책임이 사용자에게 있음을 이해하는지를 평가합니다.",AXIS-C L3 과목1 AI 코딩 기본 이해,False,approved,"정답키 균등, 선택지 균형, 해설 보강, 코드 추가, 난이도 과목별 균형 반영",1,,
3,AXIS-C,L3,AI 코딩 기본 이해,프로그래밍 기본 개념,multiple_choice,concept,hard,프로그래밍에서 ‘변수’에 대한 설명으로 가장 적절한 것은?,프로그램을 삭제하는 명령이다.,값을 저장하고 이름으로 참조할 수 있는 공간이다.,항상 숫자만 저장할 수 있는 파일이다.,인터넷 주소를 자동으로 찾는 기능이다.,B,2,"정답은 B입니다. 변수는 프로그램에서 값을 저장하고 이름으로 참조하기 위한 기본 요소입니다. 변수에는 숫자, 문자열, 리스트 등 다양한 형태의 값을 저장할 수 있으며, 이후 코드에서 다시 사용할 수 있습니다. 이 문항은 프로그래밍 기초 개념 중 변수의 역할을 이해하는지를 확인합니다. 이 문항은 AI 코딩의 기본 개념을 이해하고 있는지를 확인합니다. AI 코딩 도구를 실무에서 활용하려면 이러한 기초 개념을 정확히 구분할 수 있어야 합니다.",AXIS-C L3 과목1 AI 코딩 기본 이해,False,approved,"정답키 균등, 선택지 균형, 해설 보강, 코드 추가, 난이도 과목별 균형 반영",1,,
4,AXIS-C,L3,AI 코딩 기본 이해,함수 개념,multiple_choice,concept,easy,프로그래밍에서 ‘함수’의 설명으로 가장 적절한 것은?,파일을 암호화하는 전용 장치이다.,반복적으로 사용할 수 있도록 묶어 둔 코드 블록이다.,컴퓨터 전원을 켜는 버튼이다.,프로그램 오류를 일부러 만드는 방법이다.,B,2,정답은 B입니다. 함수는 특정 작업을 수행하는 코드 블록을 이름으로 묶어 재사용할 수 있게 한 구조입니다. 같은 기능을 여러 번 작성하지 않아도 되므로 코드의 가독성과 유지보수성이 높아집니다. 이 문항은 함수의 기본 개념과 코드 구조화의 의미를 이해하는지를 평가합니다. 이 문항은 AI 코딩의 기본 개념을 이해하고 있는지를 확인합니다. AI 코딩 도구를 실무에서 활용하려면 이러한 기초 개념을 정확히 구분할 수 있어야 합니다.,AXIS-C L3 과목1 AI 코딩 기본 이해,False,approved,"정답키 균등, 선택지 균형, 해설 보강, 코드 추가, 난이도 과목별 균형 반영",1,,
5,AXIS-C,L3,AI 코딩 기본 이해,입출력 개념,multiple_choice,concept,easy,코드에서 입력(input)과 출력(output)에 대한 설명으로 가장 적절한 것은?,출력은 프로그램 실행 전에 반드시 정해져 있어야 한다.,입력은 항상 키보드만 의미하고 출력은 항상 프린터만 의미한다.,입력과 출력은 코드 작성과 관련이 없다.,"입력은 프로그램이 처리할 데이터이고, 출력은 처리 결과이다.",D,2,"정답은 D입니다. 입력은 프로그램이 처리할 데이터이고, 출력은 처리 결과입니다. 입력은 키보드뿐 아니라 파일, API, 데이터베이스 등 다양한 형태가 될 수 있고 출력도 화면, 파일, 응답값 등으로 나타날 수 있습니다. 이 문항은 프로그램 동작을 입출력 관점에서 이해하는지를 확인합니다.",AXIS-C L3 과목1 AI 코딩 기본 이해,False,approved,"정답키 균등, 선택지 균형, 해설 보강, 코드 추가, 난이도 과목별 균형 반영",1,,
6,AXIS-C,L3,AI 코딩 기본 이해,조건문,multiple_choice,concept,easy,조건문에 대한 설명으로 가장 적절한 것은?,프로그램을 인터넷에 배포하는 도구이다.,코드를 무조건 한 번만 실행하게 하는 구조이다.,파일명을 자동으로 바꾸는 명령이다.,조건에 따라 서로 다른 코드가 실행되도록 하는 구조이다.,D,2,"정답은 D입니다. 조건문은 특정 조건이 참인지 거짓인지에 따라 서로 다른 코드가 실행되도록 만드는 구조입니다. 예를 들어 점수가 60점 이상이면 합격, 아니면 불합격을 출력하는 방식이 조건문에 해당합니다. 이 문항은 프로그램 흐름 제어의 기본 개념을 평가합니다. 이 문항은 AI 코딩의 기본 개념을 이해하고 있는지를 확인합니다. AI 코딩 도구를 실무에서 활용하려면 이러한 기초 개념을 정확히 구분할 수 있어야 합니다.",AXIS-C L3 과목1 AI 코딩 기본 이해,False,approved,"정답키 균등, 선택지 균형, 해설 보강, 코드 추가, 난이도 과목별 균형 반영",1,,
7,AXIS-C,L3,AI 코딩 기본 이해,반복문,multiple_choice,concept,easy,반복문을 사용하는 주된 이유는?,코드를 실행하지 않기 위해서이다.,동일하거나 유사한 작업을 여러 번 실행하기 위해서이다.,프로그램을 자동으로 삭제하기 위해서이다.,변수명을 숨기기 위해서이다.,B,2,정답은 B입니다. 반복문은 동일하거나 유사한 작업을 여러 번 실행해야 할 때 사용하는 구조입니다. 반복문을 사용하면 같은 코드를 여러 번 쓰지 않아도 되어 코드가 간결해지고 오류 가능성도 줄어듭니다. 이 문항은 반복문의 목적과 활용 이유를 이해하는지를 확인합니다. 이 문항은 AI 코딩의 기본 개념을 이해하고 있는지를 확인합니다. AI 코딩 도구를 실무에서 활용하려면 이러한 기초 개념을 정확히 구분할 수 있어야 합니다.,AXIS-C L3 과목1 AI 코딩 기본 이해,False,approved,"정답키 균등, 선택지 균형, 해설 보강, 코드 추가, 난이도 과목별 균형 반영",1,,
8,AXIS-C,L3,AI 코딩 기본 이해,디버깅 개념,multiple_choice,concept,easy,디버깅(debugging)에 대한 설명으로 가장 적절한 것은?,프로그램의 오류 원인을 찾아 수정하는 과정이다.,코드를 일부러 복잡하게 만드는 과정이다.,완성된 코드를 절대 실행하지 않는 과정이다.,프로그램 이름을 바꾸는 과정이다.,A,2,"정답은 A입니다. 디버깅은 프로그램에서 발생한 오류의 원인을 찾고 수정하는 과정입니다. 오류 메시지, 실행 위치, 입력값, 코드 흐름을 확인하면서 문제를 해결하는 것이 핵심입니다. 이 문항은 AI 코딩 활용에서 중요한 오류 분석의 기본 개념을 평가합니다. 이 문항은 AI 코딩의 기본 개념을 이해하고 있는지를 확인합니다. AI 코딩 도구를 실무에서 활용하려면 이러한 기초 개념을 정확히 구분할 수 있어야 합니다.",AXIS-C L3 과목1 AI 코딩 기본 이해,False,approved,"정답키 균등, 선택지 균형, 해설 보강, 코드 추가, 난이도 과목별 균형 반영",1,,
9,AXIS-C,L3,AI 코딩 기본 이해,테스트 개념,multiple_choice,concept,easy,코드 테스트의 목적에 대한 설명으로 가장 적절한 것은?,주석을 모두 삭제하기 위해서이다.,코드 줄 수를 무조건 늘리기 위해서이다.,코드가 요구사항대로 동작하는지 확인하기 위해서이다.,코드 실행 결과를 보지 않기 위해서이다.,C,2,"정답은 C입니다. 코드 테스트는 작성한 코드가 요구사항대로 동작하는지 확인하기 위한 과정입니다. 정상 입력뿐 아니라 빈 값, 잘못된 입력, 예외 상황에서도 예상대로 처리되는지를 확인해야 합니다. 이 문항은 코드 검증의 목적을 이해하는지를 평가합니다. 이 문항은 AI 코딩의 기본 개념을 이해하고 있는지를 확인합니다. AI 코딩 도구를 실무에서 활용하려면 이러한 기초 개념을 정확히 구분할 수 있어야 합니다.",AXIS-C L3 과목1 AI 코딩 기본 이해,False,approved,"정답키 균등, 선택지 균형, 해설 보강, 코드 추가, 난이도 과목별 균형 반영",1,,
10,AXIS-C,L3,AI 코딩 기본 이해,AI 코딩 활용 범위,multiple_choice,tool_use,medium,다음 중 AI 코딩 도구 활용이 비교적 적절한 상황은?,반복적인 파일명 변경 스크립트 초안을 만들고 테스트한다.,사내 API 키를 그대로 입력해 코드 생성을 요청한다.,고객 개인정보가 담긴 DB 전체를 외부 AI에 붙여 넣는다.,검증 없이 운영 서버에 바로 배포한다.,A,2,"정답은 A입니다. 반복적인 파일명 변경 스크립트 초안을 만들고 테스트하는 것은 AI 코딩 도구 활용에 적절한 업무입니다. 반면 API 키, 고객 개인정보, 운영 서버 배포와 관련된 작업은 보안과 검증 기준을 먼저 충족해야 합니다. 이 문항은 AI 코딩 자동화의 적절한 활용 범위를 판단하는지를 확인합니다.",AXIS-C L3 과목1 AI 코딩 기본 이해,False,approved,"정답키 균등, 선택지 균형, 해설 보강, 코드 추가, 난이도 과목별 균형 반영",1,,
