no,cert_type,level,subject,domain_area,q_type,item_purpose,difficulty,content,option_a,option_b,option_c,option_d,correct_answer,points,explanation,source_ref,shuffle_exempt,review_status,review_comment,version,created_by,created_date
1,AXIS-H,L3,AI 기본 이해,생성형 AI 개념,multiple_choice,concept,hard,의료기관 업무에서 생성형 AI를 활용할 때 가장 적절한 설명은?,AI가 의료진을 대신해 진단을 확정하는 도구이다.,환자의 치료 방법을 자동으로 결정하는 시스템이다.,"문서 작성, 안내문 초안, 업무 정리 등을 보조할 수 있는 도구이다.",환자정보를 제한 없이 입력해도 되는 안전한 저장소이다.,C,2,"정답은 C입니다. AXIS-H L3에서 생성형 AI는 의료진의 진단이나 치료 판단을 대신하는 도구가 아니라, 의료기관의 비임상 업무를 보조하는 도구로 이해해야 합니다. 문서 작성, 안내문 초안, 업무 정리와 같은 행정·지원 업무에는 활용할 수 있습니다. 환자정보를 제한 없이 입력하거나 의료 판단을 AI에 맡기는 방식은 적절하지 않습니다. 이 문항은 의료기관 AI 활용의 기본 범위와 한계를 이해하는지를 확인합니다.",AXIS-H L3 과목1 AI 기본 이해,False,approved,"정답키 균등, 선택지 균형, 난이도 대폭 조정, item_purpose 수정 반영",1,,
2,AXIS-H,L3,AI 기본 이해,AI의 한계,multiple_choice,concept,hard,의료기관에서 AI 결과를 사용할 때 가장 중요한 태도는?,AI가 작성한 내용은 그대로 환자에게 안내한다.,AI 답변이 자연스러우면 사실로 확정한다.,AI가 만든 정보는 법적 책임이 없다.,AI 결과는 초안으로 활용하고 담당자가 검토한다.,D,2,"정답은 D입니다. AI가 작성한 내용은 초안으로 활용할 수 있지만, 환자나 직원에게 안내되기 전에는 담당자의 검토가 필요합니다. 의료기관 안내문은 잘못된 정보가 전달될 경우 혼란이나 민원으로 이어질 수 있습니다. AI 결과가 자연스러워 보인다고 해서 내부 기준과 일치한다는 의미는 아닙니다. 이 문항은 AI 산출물에 대한 최종 검토 책임을 이해하는지를 평가합니다.",AXIS-H L3 과목1 AI 기본 이해,False,approved,"정답키 균등, 선택지 균형, 난이도 대폭 조정, item_purpose 수정 반영",1,,
3,AXIS-H,L3,AI 기본 이해,할루시네이션,multiple_choice,concept,medium,AI의 할루시네이션에 대한 설명으로 가장 적절한 것은?,AI가 환자정보를 자동으로 비식별화하는 기능이다.,AI가 사실과 다른 내용을 그럴듯하게 생성하는 현상이다.,AI가 항상 최신 의료지침을 정확히 반영하는 기능이다.,AI가 병원 예약을 자동으로 확정하는 기능이다.,B,2,"정답은 B입니다. 할루시네이션은 AI가 사실과 다른 내용을 그럴듯하게 생성하는 현상입니다. 의료기관에서는 운영시간, 준비물, 안내 절차, 안전 문구가 실제 기준과 다르게 작성될 경우 문제가 발생할 수 있습니다. 따라서 AI가 만든 안내문이나 보고서는 반드시 내부 기준과 대조해야 합니다. 이 문항은 AI 답변 검증이 필요한 이유를 이해하는지를 확인합니다.",AXIS-H L3 과목1 AI 기본 이해,False,approved,"정답키 균등, 선택지 균형, 난이도 대폭 조정, item_purpose 수정 반영",1,,
4,AXIS-H,L3,AI 기본 이해,의료기관 AI 활용 범위,multiple_choice,concept,medium,다음 중 AXIS-H에서 다루는 AI 활용 범위로 가장 적절한 것은?,환자 질병 진단 확정,원무 안내문 초안 작성,약 처방 결정,수술 방법 선택,B,2,"정답은 B입니다. AXIS-H는 의료기관의 비임상 AI 활용 역량을 평가하므로 원무 안내문 초안 작성과 같은 업무가 적절한 범위에 해당합니다. 반면 진단 확정, 약 처방 결정, 수술 방법 선택은 임상적 의료 판단 영역입니다. 이러한 판단은 AI나 비임상 담당자가 대신할 수 없습니다. 이 문항은 AXIS-H 평가 범위가 의료기관 비임상 업무 중심임을 이해하는지를 평가합니다.",AXIS-H L3 과목1 AI 기본 이해,False,approved,"정답키 균등, 선택지 균형, 난이도 대폭 조정, item_purpose 수정 반영",1,,
5,AXIS-H,L3,AI 기본 이해,비임상 업무,multiple_choice,concept,medium,의료기관의 비임상 업무에 해당하는 예로 가장 적절한 것은?,질병 진단,약물 처방,치료 계획 확정,접수 안내문 작성,D,2,"정답은 D입니다. 접수 안내문 작성은 의료기관의 행정·안내 업무에 해당하며 AI가 초안 작성을 보조할 수 있습니다. 진단, 처방, 치료계획 확정은 전문 의료진의 판단이 필요한 의료행위입니다. AXIS-H L3에서는 이러한 의료행위를 수행하는 능력이 아니라, 비임상 업무에서 AI를 안전하게 활용하는 능력을 평가합니다. 이 문항은 비임상 업무와 의료행위 영역을 구분하는지를 확인합니다.",AXIS-H L3 과목1 AI 기본 이해,False,approved,"정답키 균등, 선택지 균형, 난이도 대폭 조정, item_purpose 수정 반영",1,,
6,AXIS-H,L3,AI 기본 이해,디지털 전환,multiple_choice,concept,medium,의료기관 AI 활용의 목적을 가장 적절하게 설명한 것은?,모든 의료판단을 AI에게 위임하기 위해서이다.,의료진의 확인 절차를 없애기 위해서이다.,환자 개인정보를 더 많이 외부 도구에 입력하기 위해서이다.,반복적인 행정·안내 업무를 보조하고 업무 효율과 품질을 높이기 위해서이다.,D,2,정답은 D입니다. 의료기관 AI 활용의 목적은 반복적인 행정·안내 업무를 보조하고 업무 효율과 서비스 품질을 높이는 것입니다. AI가 의료판단을 대신하거나 환자 개인정보를 더 많이 입력하도록 하는 것이 목적이 아닙니다. 또한 검토 절차를 없애는 것이 아니라 검토가 필요한 초안을 빠르게 만드는 것이 핵심입니다. 이 문항은 의료기관 AI 활용의 목적과 안전한 적용 방향을 평가합니다.,AXIS-H L3 과목1 AI 기본 이해,False,approved,"정답키 균등, 선택지 균형, 난이도 대폭 조정, item_purpose 수정 반영",1,,
7,AXIS-H,L3,AI 기본 이해,AI와 사람의 역할,multiple_choice,concept,easy,AI와 의료기관 직원의 역할 구분으로 가장 적절한 것은?,AI가 모든 환자 응대를 독립적으로 수행한다.,"AI는 초안 작성과 정리를 보조하고, 직원은 검토와 최종 안내 책임을 진다.",직원은 AI 결과를 검토하지 않아도 된다.,AI가 의료기관의 법적 책임을 대신 부담한다.,B,2,"정답은 B입니다. AI는 초안 작성, 정리, 문구 개선을 보조할 수 있고, 직원은 그 결과를 검토하고 최종 안내 책임을 져야 합니다. AI가 독립적으로 환자 응대를 수행하거나 의료기관의 법적 책임을 대신 부담할 수는 없습니다. 의료기관 업무에서는 정확성, 안전성, 개인정보보호가 중요하므로 사람의 확인 절차가 필수입니다. 이 문항은 AI와 의료기관 직원의 역할 구분을 이해하는지를 확인합니다.",AXIS-H L3 과목1 AI 기본 이해,False,approved,"정답키 균등, 선택지 균형, 난이도 대폭 조정, item_purpose 수정 반영",1,,
8,AXIS-H,L3,AI 기본 이해,AI 결과 검증,multiple_choice,output_review,medium,AI가 작성한 병원 이용 안내문을 게시하기 전 확인해야 할 사항으로 가장 적절한 것은?,"운영시간, 위치, 문의처, 대상자, 주의사항이 실제 기준과 맞는지 확인한다.",문장이 친절한지만 확인한다.,AI가 작성했으므로 확인하지 않는다.,길이가 길면 정확하다고 판단한다.,A,2,"정답은 A입니다. 병원 이용 안내문은 운영시간, 위치, 문의처, 대상자, 주의사항이 실제 기준과 맞는지 확인해야 합니다. 친절한 표현만으로는 정확한 안내문이라고 볼 수 없습니다. 의료기관 안내는 환자의 방문 행동에 직접 영향을 줄 수 있으므로 내부 기준과 최신 공지를 확인해야 합니다. 이 문항은 AI 산출물을 게시하기 전 검토해야 할 기준을 평가합니다.",AXIS-H L3 과목1 AI 기본 이해,False,approved,"정답키 균등, 선택지 균형, 난이도 대폭 조정, item_purpose 수정 반영",1,,
9,AXIS-H,L3,AI 기본 이해,AI 활용 리스크,multiple_choice,concept,medium,의료기관에서 AI 활용 시 가장 큰 위험 중 하나로 보기 어려운 것은?,잘못된 안내로 환자에게 혼란을 줄 수 있다.,환자정보가 외부로 유출될 수 있다.,AI가 문서 초안을 빠르게 작성할 수 있다.,진단·치료처럼 오인되는 표현이 포함될 수 있다.,C,2,"정답은 C입니다. AI가 문서 초안을 빠르게 작성할 수 있는 것은 위험이라기보다 업무 효율 측면의 장점입니다. 반면 잘못된 안내, 환자정보 유출, 의료행위로 오인될 수 있는 표현은 의료기관 AI 활용의 주요 리스크입니다. AXIS-H에서는 이러한 위험을 구분하고 통제하는 판단이 중요합니다. 이 문항은 의료기관 AI 활용 리스크를 식별하는 능력을 확인합니다.",AXIS-H L3 과목1 AI 기본 이해,False,approved,"정답키 균등, 선택지 균형, 난이도 대폭 조정, item_purpose 수정 반영",1,,
10,AXIS-H,L3,AI 기본 이해,생성형 AI와 검색,multiple_choice,concept,easy,의료기관 직원이 AI 답변을 활용할 때 적절한 설명은?,AI 답변은 초안일 수 있으므로 병원 내부 기준과 대조해야 한다.,AI 답변은 항상 최신 병원 정책과 일치한다.,AI 답변은 검색 결과보다 항상 정확하다.,AI가 말한 내용은 출처 확인이 불필요하다.,A,2,"정답은 A입니다. AI 답변은 병원 내부 정책, 최신 운영 기준, 실제 공지사항과 다를 수 있으므로 반드시 대조해야 합니다. AI가 생성한 문장은 그럴듯해 보여도 병원 상황에 맞지 않을 수 있습니다. 특히 환자 안내, 운영시간, 준비물, 문의처는 실제 기준 확인이 필요합니다. 이 문항은 생성형 AI와 내부 기준 검토의 관계를 이해하는지를 평가합니다.",AXIS-H L3 과목1 AI 기본 이해,False,approved,"정답키 균등, 선택지 균형, 난이도 대폭 조정, item_purpose 수정 반영",1,,
