no,cert_type,level,subject,domain_area,q_type,item_purpose,difficulty,content,option_a,option_b,option_c,option_d,correct_answer,points,explanation,source_ref,shuffle_exempt,review_status,review_comment,version,created_by,created_date
1,AXIS,L3,AI 현실 이해와 한계 판단,개념·한계 판단형,개념·한계 판단형,case_judgment,easy,생성형 AI가 만든 답변을 업무에 사용하기 전에 반드시 확인해야 하는 이유로 가장 적절한 것은?,AI는 인터넷에서 정보를 실시간으로 검색해 답변하므로 출처 링크만 확인하면 신뢰할 수 있다,AI는 학습한 데이터를 원문 그대로 복사해 제공하므로 원본 데이터의 출처만 확인하면 충분하다,AI는 질문을 이해하지 못할 경우 답변을 만들지 않고 항상 '답변 불가'라고 명확하게 알려준다,AI는 확률 기반으로 문장을 생성하므로 사실이 아닌 내용도 자신 있게 제시할 수 있다,D,2,"정답 근거: 생성형 AI는 존재하지 않는 법령·고시 번호를 그럴듯하게 만들어낼 수 있다. 구체적 번호가 있을수록 검증이 필수이며, 공식 기관 사이트에서 직접 확인해야 한다. 오답 분석: A — 구체적 번호가 AI의 정확성을 보장하지 않는다. 할루시네이션은 오히려 구체적일수록 위험하다. B — 모호하게 바꾸면 법적 위험은 줄어 보일 수 있으나, 검증 자체를 건너뛰므로 정확성을 담보하지 못한다. C — AI에게 재확인을 요청해도 동일한 허위 정보를 반복하거나 다른 허위 번호를 만들 수 있다.",AXIS-L3-01-CL-L-001,False,approved,import:AXIS_L3_Batch01_영역1_AI현실이해_20문항.html,2,,
2,AXIS,L3,AI 현실 이해와 한계 판단,개념·한계 판단형,개념·한계 판단형,case_judgment,easy,생성형 AI에게 최근 변경된 사내 규정에 대해 질문했을 때 유의해야 할 점으로 가장 적절한 것은?,AI는 모든 기업의 사내 규정과 내부 지침을 실시간으로 파악해 답변에 반영하고 있다,AI의 학습 데이터에는 시점 한계가 있어 최근 변경 내용을 모를 수 있다,AI에게 '최신 버전으로 답변해줘'라고 하면 자동으로 최신 정보가 반영된다,AI는 법률·규정 분야에 특화 학습되어 있으므로 규정 관련 답변은 정확하다고 본다,B,2,"정답 근거: 생성형 AI는 학습 데이터 시점까지의 정보만 반영할 수 있으며, 그 이후의 변경사항은 알지 못한다. 오답 분석: A — AI는 개별 기업의 사내 규정을 실시간으로 파악하지 못한다. C — ""최신으로""라는 지시만으로는 AI가 학습 시점 이후 정보를 반영할 수 없다. D — AI는 법률·규정에 특화된 도구가 아니며, 학습 데이터의 한계가 있다.",AXIS-L3-01-CL-L-002,False,approved,import:AXIS_L3_Batch01_영역1_AI현실이해_20문항.html,2,,
3,AXIS,L3,AI 현실 이해와 한계 판단,개념·한계 판단형,개념·한계 판단형,case_judgment,easy,"생성형 AI가 매우 구체적인 수치와 자신감 있는 어조로 답변했을 때, 이에 대한 판단으로 가장 적절한 것은?",수치까지 구체적으로 제시했으므로 근거가 충분한 정확한 정보일 가능성이 높다,자신감 있는 어조는 AI가 해당 분야를 깊이 학습했다는 신뢰의 신호로 볼 수 있다,구체적이고 자신감 있는 답변이라도 사실 여부는 별도로 확인해야 한다,AI가 불확실한 정보에는 자동으로 '추정입니다'라는 표시를 붙여 구분해 준다,C,2,정답 근거: AI의 어조·구체성은 사실 정확도와 무관하다. 할루시네이션은 오히려 구체적이고 자신감 있는 형태로 나타나는 경우가 많다. 오답 분석: A — 구체적 수치가 AI의 정확성을 보장하지 않는다. B — 자신감 있는 어조는 AI의 생성 방식에서 비롯되며 학습 품질과 무관하다. D — 대부분의 AI는 불확실한 정보에 자동으로 경고를 표시하지 않는다.,AXIS-L3-01-CL-L-003,False,approved,import:AXIS_L3_Batch01_영역1_AI현실이해_20문항.html,2,,
4,AXIS,L3,AI 현실 이해와 한계 판단,개념·한계 판단형,개념·한계 판단형,case_judgment,easy,"AI의 답변이 맞는지 의심될 때, 같은 AI에게 ""방금 답변이 정확한지 다시 확인해줘""라고 요청하는 방법에 대한 판단으로 가장 적절한 것은?",AI가 스스로 오류를 인정하면 지적된 해당 부분만 수정하면 충분하다고 볼 수 있다,재확인 요청 시 AI가 '맞습니다'라고 답하면 해당 정보를 신뢰할 수 있다,재질문하면 AI가 더 정확한 데이터베이스를 새로 참조하므로 정확도가 올라간다,AI는 자기 답변의 사실 여부를 스스로 검증할 수 없으므로 외부 확인이 필요하다,D,2,"정답 근거: AI는 자기가 생성한 내용의 사실 여부를 검증하는 능력이 없다. 재질문해도 같은 오류를 반복하거나 다른 오류를 새로 만들 수 있다. 오답 분석: A — AI가 오류를 인정하더라도 수정된 답변 역시 정확하다는 보장이 없다. B — ""맞습니다""라는 AI의 확인은 사실 검증이 아니라 패턴 기반 응답일 뿐이다. C — 재질문해도 AI가 참조하는 데이터가 달라지는 것은 아니다.",AXIS-L3-01-CL-L-004,False,approved,import:AXIS_L3_Batch01_영역1_AI현실이해_20문항.html,2,,
5,AXIS,L3,AI 현실 이해와 한계 판단,개념·한계 판단형,개념·한계 판단형,case_judgment,medium,"AI에게 ""우리 팀 상황에 맞는 보고서를 작성해줘""라고 요청할 때 유의해야 할 점으로 가장 적절한 것은?",팀의 업무 목적·대상·제약조건 등 맥락을 직접 제공해야 적절한 결과를 얻을 수 있다,AI는 이전 대화에서 축적된 정보로 우리 팀의 상황을 이미 충분히 이해하고 있다,AI는 사용자의 소속·직무·업무환경을 자동으로 파악하여 그에 맞춘 답변을 제공한다,유료 버전을 사용하면 AI가 회사의 조직도와 업무 프로세스를 자동으로 인식하게 된다,A,2,"정답 근거: AI는 사용자의 조직·팀·업무 상황을 자동으로 파악하지 못한다. 원하는 결과를 얻으려면 업무 목적·대상·조건 등 맥락을 직접 제공해야 한다. 오답 분석: B — 대부분의 AI는 이전 대화를 세션 간 유지하지 않으며, 유지하더라도 팀 상황을 충분히 이해했다고 볼 수 없다. C — AI는 사용자의 소속·직무를 자동으로 파악하는 기능이 없다. D — 유료 여부와 관계없이 AI가 조직도나 업무 프로세스를 자동으로 인식하지 못한다.",AXIS-L3-01-CL-M-005,False,approved,import:AXIS_L3_Batch01_영역1_AI현실이해_20문항.html,2,,
6,AXIS,L3,AI 현실 이해와 한계 판단,개념·한계 판단형,개념·한계 판단형,case_judgment,medium,세무·회계 관련 질문에 AI가 구체적인 세율과 적용 조건까지 제시하며 답변했다. 이에 대한 판단으로 가장 적절한 것은?,세율까지 구체적으로 제시했으므로 전문적 근거가 충분히 갖춰진 답변이라 본다,AI가 세법을 학습했더라도 개정·예외·적용 조건까지 정확하다는 보장은 없다,AI는 세무 분야에서 공인된 계산 엔진을 사용하므로 제시한 수치는 정확하다,답변에 '참고용'이라는 표현이 따로 없으면 공식 정보로 사용해도 무방하다,B,2,"정답 근거: AI가 세법 관련 데이터를 학습했더라도 개정 사항, 예외 규정, 개별 적용 조건까지 정확하게 반영한다고 볼 수 없다. 전문 분야 답변은 반드시 전문가나 공식 자료로 검증해야 한다. 오답 분석: A — 구체적 세율 제시가 전문적 근거를 보장하지 않는다. C — AI는 공인된 세무 계산 엔진이 아니라 텍스트 생성 모델이다. D — ""참고용"" 표현 유무와 답변의 정확성은 무관하다.",AXIS-L3-01-CL-M-006,False,approved,import:AXIS_L3_Batch01_영역1_AI현실이해_20문항.html,2,,
7,AXIS,L3,AI 현실 이해와 한계 판단,개념·한계 판단형,개념·한계 판단형,case_judgment,medium,"AI에게 특정 주제에 대한 의견을 물었을 때, AI 답변의 특성으로 가장 적절한 것은?",AI는 모든 관점을 동등하게 학습하므로 항상 균형 잡힌 의견을 제시한다,AI는 개인적 의견이 없으므로 어떤 답변이든 객관적 사실로 볼 수 있다,AI의 답변은 학습 데이터에 많이 포함된 관점에 치우칠 수 있다,AI는 논쟁적 주제에 대해서는 반드시 양쪽 의견을 동시에 제시하도록 설계되어 있다,C,2,"정답 근거: AI는 학습 데이터에 포함된 정보의 분포를 반영하므로, 특정 관점이 더 많이 학습된 경우 해당 방향으로 편향될 수 있다. 오답 분석: A — 학습 데이터 자체가 균형 잡혀 있지 않을 수 있으므로 항상 균형 잡힌 것은 아니다. B — AI에 개인적 의견은 없지만, 학습 데이터의 편향이 반영된 답변을 객관적 사실로 볼 수 없다. D — AI는 항상 양쪽 의견을 동시에 제시하도록 보장되어 있지 않다.",AXIS-L3-01-CL-M-007,False,approved,import:AXIS_L3_Batch01_영역1_AI현실이해_20문항.html,2,,
8,AXIS,L3,AI 현실 이해와 한계 판단,개념·한계 판단형,개념·한계 판단형,case_judgment,hard,"AI에게 ""올해 국내 중소기업 지원 정책을 정리해줘""라고 요청했을 때, 결과물에서 발생할 수 있는 문제로 가장 포괄적인 것은?",실제 존재하지 않는 정책을 사실처럼 제시하거나 이미 폐지된 정책을 포함할 수 있다,지원 정책의 금액이나 신청 기한을 실제 공고문의 내용과 다르게 잘못 표기할 수 있다,대기업 중심의 정책을 중소기업 대상 정책으로 혼동하여 부정확하게 제시할 수 있다,지원 정책의 공식 명칭을 실제 명칭과 다르게 부정확하게 표기할 가능성이 충분히 있다,A,2,정답 근거: A는 할루시네이션(없는 정책 생성)과 최신성 한계(폐지 정책 포함)를 모두 포괄하는 가장 광범위한 문제이다. B·C·D도 발생 가능하지만 A에 포함되는 하위 문제이다. 오답 분석: B — 금액·기한 오류는 발생 가능하지만 A(존재 자체의 허위)보다 범위가 좁다. C — 대상 혼동은 발생 가능하지만 역시 A에 비해 한정적 문제이다. D — 명칭 부정확은 표현 수준의 문제로 A보다 범위가 좁다.,AXIS-L3-01-CL-H-008,False,approved,import:AXIS_L3_Batch01_영역1_AI현실이해_20문항.html,2,,
9,AXIS,L3,AI 현실 이해와 한계 판단,현업적용형,현업적용형,case_judgment,medium,지난달 변경된 택배 배송비 정책을 반영한 고객 안내문을 AI로 작성하려 한다. 가장 적절한 접근은?,'최신 배송비 기준으로 안내문 써줘'라고 지시하면 변경분이 자동으로 반영된다,AI가 배송 분야를 충분히 학습했으므로 별도 정보 없이 요청해도 정확하다,변경된 배송비 정보를 직접 입력한 뒤 결과물을 원본과 대조한다,배송비 안내는 민감 정보이므로 AI를 전혀 쓰지 않고 수작업으로만 작성한다,C,2,"정답 근거: 최근 변경된 정보는 AI의 학습 데이터에 반영되지 않았을 수 있다. 변경 사항을 직접 제공하고 결과물을 원본과 대조해야 한다. 오답 분석: A — ""최신으로""라는 지시만으로는 학습 시점 이후 변경을 반영할 수 없다. B — 분야 학습 여부와 관계없이 최근 변경 정보는 AI가 모를 수 있다. D — 배송비 정책은 민감 정보가 아니므로 전면 배제는 과잉 대응이다.",AXIS-L3-01-AP-M-009,False,approved,import:AXIS_L3_Batch01_영역1_AI현실이해_20문항.html,2,,
10,AXIS,L3,AI 현실 이해와 한계 판단,현업적용형,현업적용형,case_judgment,medium,"보고서 작성을 위해 AI에게 참고자료 목록을 요청했더니 논문 제목, 저자, 학술지명이 구체적으로 나열되었다. 가장 적절한 대응은?",제목·저자·학술지가 구체적으로 제시되었으므로 그대로 보고서에 인용한다,AI에게 '이 논문들이 실제로 존재하는지 확인해줘'라고 다시 한번 재질문한다,논문 제목이 너무 길면 적절히 줄여서 인용하고 나머지 정보는 그대로 사용한다,학술 데이터베이스에서 해당 논문의 실제 존재 여부를 직접 확인한다,D,2,정답 근거: AI는 실존하지 않는 논문의 제목·저자·학술지를 그럴듯하게 생성할 수 있다. 실제 존재 여부는 학술 데이터베이스에서 직접 확인해야 한다. 오답 분석: A — 구체적 서지 정보가 논문의 실존을 보장하지 않는다. B — AI에게 재확인해도 자기 생성물의 진위를 검증할 수 없다. C — 논문의 존재 자체를 확인하지 않고 형식만 수정하는 것은 근본적 해결이 아니다.,AXIS-L3-01-AP-M-010,False,approved,import:AXIS_L3_Batch01_영역1_AI현실이해_20문항.html,2,,
