set_no,cert_type,level,task_type,task_title,time_limit,scenario_content,sample_data,required_structure,forbidden_rules,ai_tool_allowed,rubric,max_score,model_answer,risk_criteria,benchmark_excellent,benchmark_normal,benchmark_borderline,benchmark_fail,ai_prompt_version,review_status,review_comment,version,created_by,created_date
61,AXIS,L3,l3_risk,문항 1. 리스크 판단형 · 보안·개인정보·저작권·윤리 리스크 관리,5,"신입사원이 고객 상담 내역(고객명·전화번호·주소 포함)을 외부 무료 AI에 붙여넣어 불만 유형을 분류하려 한다. '내용만 분석하는 거니까 괜찮다'고 말한다.

[과업] 가장 위험한 요소를 선택하고, 즉시 해야 할 조치와 대체 방법을 제시하라.",,선택형 + 짧은 근거 서술,"개인정보 입력 금지, 외부 AI 사용 금지",LMS 내장 AI,"채점 요소 배점 기준 위험 식별 4 개인정보, 기밀정보, 저작권, 보안, 허위정보, 과장표현, 책임소재 위험을 식별 우선순위 3 가장 위험한 요소와 먼저 조치해야 할 항목을 정한다 대응조치 2 삭제, 익명화, 내부 승인, 원문 확인, 사용 금지 등 적절한 대응조치를 제시 근거 1 위험성과 조치 우선순위를 80~150자 내에서 설명",10,"highest_risk 고객명·전화번호·주소가 포함된 상담 내역을 외부 무료 AI에 입력하는 것 immediate_action 즉시 입력을 중단하고, 고객명·전화번호·주소를 제거·가명처리한 뒤 승인된 내부 환경에서 분석한다. key_reason 분석 목적이라도 고객 개인정보를 외부 AI에 입력하면 유출 위험이 있으며, 비식별화와 승인된 도구 사용이 우선이다.",개인정보 입력 기밀정보 입력 저작권 위험 보안 위험 책임소재 불명확,"highest_risk 고객명·전화번호·주소가 포함된 상담 내역을 외부 무료 AI에 입력하는 것 immediate_action 즉시 입력을 중단하고, 고객명·전화번호·주소를 제거·가명처리한 뒤 승인된 내부 환경에서 분석한다. key_reason 분석 목적이라도 고객 개인정보를 외부 AI에 입력하면 유출 위험이 있으며, 비식별화와 승인된 도구 사용이 우선이다.",,,,v1.1,approved,AXIS-L3-P-061,2,,
62,AXIS,L3,l3_risk,문항 2. 리스크 판단형 · 보안·개인정보·저작권·윤리 리스크 관리,5,"팀원이 사내 보안 정책 문서(대외비)를 외부 AI에 입력하여 요약본을 만들려 한다. '어차피 요약이니까 원문이 유출되는 건 아니다'라고 말한다.

[과업] 가장 위험한 요소를 선택하고, 즉시 해야 할 조치와 대체 방법을 제시하라.",,선택형 + 짧은 근거 서술,"개인정보 입력 금지, 외부 AI 사용 금지",LMS 내장 AI,"채점 요소 배점 기준 위험 식별 4 개인정보, 기밀정보, 저작권, 보안, 허위정보, 과장표현, 책임소재 위험을 식별 우선순위 3 가장 위험한 요소와 먼저 조치해야 할 항목을 정한다 대응조치 2 삭제, 익명화, 내부 승인, 원문 확인, 사용 금지 등 적절한 대응조치를 제시 근거 1 위험성과 조치 우선순위를 80~150자 내에서 설명",10,"highest_risk 대외비 보안 정책 문서를 외부 AI에 입력하여 보안 체계 자체가 노출되는 것 immediate_action 입력을 중단하고, 대외비 문서는 승인된 내부 도구에서만 처리하거나, 민감 내용을 제거한 비밀등급 해제본으로 작업한다. key_reason 요약이라도 원문이 외부 AI 서버에 전송되므로 유출과 동일하며, 보안 정책 문서는 보안 체계 자체를 노출시킬 수 있다.",개인정보 입력 기밀정보 입력 저작권 위험 보안 위험 책임소재 불명확,"highest_risk 대외비 보안 정책 문서를 외부 AI에 입력하여 보안 체계 자체가 노출되는 것 immediate_action 입력을 중단하고, 대외비 문서는 승인된 내부 도구에서만 처리하거나, 민감 내용을 제거한 비밀등급 해제본으로 작업한다. key_reason 요약이라도 원문이 외부 AI 서버에 전송되므로 유출과 동일하며, 보안 정책 문서는 보안 체계 자체를 노출시킬 수 있다.",,,,v1.1,approved,AXIS-L3-P-062,2,,
63,AXIS,L3,l3_risk,문항 3. 리스크 판단형 · 보안·개인정보·저작권·윤리 리스크 관리,5,"인사팀 직원이 직원 연봉 데이터(이름·사번·연봉)를 외부 AI에 입력하여 부서별 연봉 분포를 분석하려 한다. '통계만 볼 거라서 문제없다'고 말한다.

[과업] 가장 위험한 요소를 선택하고, 즉시 해야 할 조치와 대체 방법을 제시하라.",,선택형 + 짧은 근거 서술,"개인정보 입력 금지, 외부 AI 사용 금지",LMS 내장 AI,"채점 요소 배점 기준 위험 식별 4 개인정보, 기밀정보, 저작권, 보안, 허위정보, 과장표현, 책임소재 위험을 식별 우선순위 3 가장 위험한 요소와 먼저 조치해야 할 항목을 정한다 대응조치 2 삭제, 익명화, 내부 승인, 원문 확인, 사용 금지 등 적절한 대응조치를 제시 근거 1 위험성과 조치 우선순위를 80~150자 내에서 설명",10,"highest_risk 직원 이름·사번·연봉이 포함된 데이터를 외부 AI에 입력하여 인사 기밀과 개인정보가 동시에 유출되는 것 immediate_action 입력을 중단하고, 이름·사번을 삭제하여 비식별화한 뒤 승인된 내부 분석 도구에서 통계를 산출한다. key_reason 통계 목적이라도 이름·사번·연봉이 함께 있으면 개인을 식별할 수 있으므로, 비식별화와 내부 도구 사용이 필수이다.",개인정보 입력 기밀정보 입력 저작권 위험 보안 위험 책임소재 불명확,"highest_risk 직원 이름·사번·연봉이 포함된 데이터를 외부 AI에 입력하여 인사 기밀과 개인정보가 동시에 유출되는 것 immediate_action 입력을 중단하고, 이름·사번을 삭제하여 비식별화한 뒤 승인된 내부 분석 도구에서 통계를 산출한다. key_reason 통계 목적이라도 이름·사번·연봉이 함께 있으면 개인을 식별할 수 있으므로, 비식별화와 내부 도구 사용이 필수이다.",,,,v1.1,approved,AXIS-L3-P-063,2,,
64,AXIS,L3,l3_risk,문항 4. 리스크 판단형 · 보안·개인정보·저작권·윤리 리스크 관리,5,"기획팀 대리가 미공개 신사업 전략서(대외비)를 외부 AI에 입력하여 SWOT 분석을 요청하려 한다. '경쟁사가 이 AI를 쓰진 않을 거다'라고 말한다.

[과업] 가장 위험한 요소를 선택하고, 즉시 해야 할 조치와 대체 방법을 제시하라.",,선택형 + 짧은 근거 서술,"개인정보 입력 금지, 외부 AI 사용 금지",LMS 내장 AI,"채점 요소 배점 기준 위험 식별 4 개인정보, 기밀정보, 저작권, 보안, 허위정보, 과장표현, 책임소재 위험을 식별 우선순위 3 가장 위험한 요소와 먼저 조치해야 할 항목을 정한다 대응조치 2 삭제, 익명화, 내부 승인, 원문 확인, 사용 금지 등 적절한 대응조치를 제시 근거 1 위험성과 조치 우선순위를 80~150자 내에서 설명",10,"highest_risk 미공개 신사업 전략서(대외비)를 외부 AI에 입력하여 핵심 사업 전략이 유출되는 것 immediate_action 입력을 중단하고, 전략서 내용은 승인된 내부 환경에서만 분석하거나, 민감 정보를 제거한 일반화된 버전으로 작업한다. key_reason 외부 AI에 입력된 데이터는 학습에 사용되거나 서버에 저장될 수 있어, 경쟁사 접근 여부와 관계없이 대외비 전략 유출 위험이 있다.",개인정보 입력 기밀정보 입력 저작권 위험 보안 위험 책임소재 불명확,"highest_risk 미공개 신사업 전략서(대외비)를 외부 AI에 입력하여 핵심 사업 전략이 유출되는 것 immediate_action 입력을 중단하고, 전략서 내용은 승인된 내부 환경에서만 분석하거나, 민감 정보를 제거한 일반화된 버전으로 작업한다. key_reason 외부 AI에 입력된 데이터는 학습에 사용되거나 서버에 저장될 수 있어, 경쟁사 접근 여부와 관계없이 대외비 전략 유출 위험이 있다.",,,,v1.1,approved,AXIS-L3-P-064,2,,
65,AXIS,L3,l3_risk,문항 5. 리스크 판단형 · 보안·개인정보·저작권·윤리 리스크 관리,5,"개발팀 사원이 사내 시스템 API 키와 DB 접속 정보를 AI 코딩 도구에 입력하여 코드 오류를 수정하려 한다. '디버깅용이라 금방 지울 거다'라고 말한다.

[과업] 가장 위험한 요소를 선택하고, 즉시 해야 할 조치와 대체 방법을 제시하라.",,선택형 + 짧은 근거 서술,"개인정보 입력 금지, 외부 AI 사용 금지",LMS 내장 AI,"채점 요소 배점 기준 위험 식별 4 개인정보, 기밀정보, 저작권, 보안, 허위정보, 과장표현, 책임소재 위험을 식별 우선순위 3 가장 위험한 요소와 먼저 조치해야 할 항목을 정한다 대응조치 2 삭제, 익명화, 내부 승인, 원문 확인, 사용 금지 등 적절한 대응조치를 제시 근거 1 위험성과 조치 우선순위를 80~150자 내에서 설명",10,"highest_risk API 키와 DB 접속 정보가 외부 AI 서비스에 전송되어 시스템 보안이 직접적으로 위협받는 것 immediate_action 입력을 즉시 중단하고, API 키를 갱신(재발급)하며, 코드에서 보안 정보를 환경변수로 분리한 뒤 보안팀에 보고한다. key_reason API 키·DB 정보는 한 번 노출되면 시스템 침입 경로가 되며, 삭제해도 이미 전송된 데이터는 회수할 수 없으므로 키 갱신이 필수이다.",개인정보 입력 기밀정보 입력 저작권 위험 보안 위험 책임소재 불명확,"highest_risk API 키와 DB 접속 정보가 외부 AI 서비스에 전송되어 시스템 보안이 직접적으로 위협받는 것 immediate_action 입력을 즉시 중단하고, API 키를 갱신(재발급)하며, 코드에서 보안 정보를 환경변수로 분리한 뒤 보안팀에 보고한다. key_reason API 키·DB 정보는 한 번 노출되면 시스템 침입 경로가 되며, 삭제해도 이미 전송된 데이터는 회수할 수 없으므로 키 갱신이 필수이다.",,,,v1.1,approved,AXIS-L3-P-065,2,,
66,AXIS,L3,l3_risk,문항 6. 리스크 판단형 · 보안·개인정보·저작권·윤리 리스크 관리,5,"팀원이 AI가 생성한 법률 조항 인용문을 계약서 검토 의견서에 그대로 넣으려 한다. '이렇게 구체적으로 조항 번호까지 써줬으니 맞을 거다'라고 말한다.

[과업] 가장 위험한 요소를 선택하고, 즉시 해야 할 조치와 대체 방법을 제시하라.",,선택형 + 짧은 근거 서술,"개인정보 입력 금지, 외부 AI 사용 금지",LMS 내장 AI,"채점 요소 배점 기준 위험 식별 4 개인정보, 기밀정보, 저작권, 보안, 허위정보, 과장표현, 책임소재 위험을 식별 우선순위 3 가장 위험한 요소와 먼저 조치해야 할 항목을 정한다 대응조치 2 삭제, 익명화, 내부 승인, 원문 확인, 사용 금지 등 적절한 대응조치를 제시 근거 1 위험성과 조치 우선순위를 80~150자 내에서 설명",10,"highest_risk AI가 생성한 존재하지 않을 수 있는 법률 조항을 검증 없이 계약서 의견서에 사용하는 것 immediate_action AI가 인용한 법률 조항·번호를 법령정보센터 등 공식 출처에서 실존 여부를 확인하고, 확인되지 않으면 삭제한다. key_reason AI는 구체적인 조항 번호까지 그럴듯하게 만들어내지만 실존하지 않을 수 있으며, 허위 법조항이 계약서에 포함되면 법적 책임이 발생한다.",개인정보 입력 기밀정보 입력 저작권 위험 보안 위험 책임소재 불명확,"highest_risk AI가 생성한 존재하지 않을 수 있는 법률 조항을 검증 없이 계약서 의견서에 사용하는 것 immediate_action AI가 인용한 법률 조항·번호를 법령정보센터 등 공식 출처에서 실존 여부를 확인하고, 확인되지 않으면 삭제한다. key_reason AI는 구체적인 조항 번호까지 그럴듯하게 만들어내지만 실존하지 않을 수 있으며, 허위 법조항이 계약서에 포함되면 법적 책임이 발생한다.",,,,v1.1,approved,AXIS-L3-P-066,2,,
67,AXIS,L3,l3_risk,문항 7. 리스크 판단형 · 보안·개인정보·저작권·윤리 리스크 관리,5,"마케팅팀에서 AI가 생성한 광고 카피를 검토 없이 바로 SNS에 게시하려 한다. 카피에 '업계 최초', '100% 만족 보장' 등의 표현이 포함되어 있다. 담당자는 'AI가 만들었으니 문제없을 거다'라고 말한다.

[과업] 가장 위험한 요소를 선택하고, 즉시 해야 할 조치와 대체 방법을 제시하라.",,선택형 + 짧은 근거 서술,"개인정보 입력 금지, 외부 AI 사용 금지",LMS 내장 AI,"채점 요소 배점 기준 위험 식별 4 개인정보, 기밀정보, 저작권, 보안, 허위정보, 과장표현, 책임소재 위험을 식별 우선순위 3 가장 위험한 요소와 먼저 조치해야 할 항목을 정한다 대응조치 2 삭제, 익명화, 내부 승인, 원문 확인, 사용 금지 등 적절한 대응조치를 제시 근거 1 위험성과 조치 우선순위를 80~150자 내에서 설명",10,"highest_risk AI가 생성한 '업계 최초', '100% 만족 보장' 등 과장·허위 표현을 검증 없이 공개 게시하는 것 immediate_action 게시를 중단하고, '업계 최초'·'100% 만족 보장'의 사실 근거를 확인한 뒤, 근거가 없으면 표현을 삭제·수정한다. key_reason AI 생성 여부와 관계없이 과장 광고의 법적 책임은 게시한 회사에 있으며, 사실 확인 없는 광고 표현은 공정거래법 위반 위험이 있다.",개인정보 입력 기밀정보 입력 저작권 위험 보안 위험 책임소재 불명확,"highest_risk AI가 생성한 '업계 최초', '100% 만족 보장' 등 과장·허위 표현을 검증 없이 공개 게시하는 것 immediate_action 게시를 중단하고, '업계 최초'·'100% 만족 보장'의 사실 근거를 확인한 뒤, 근거가 없으면 표현을 삭제·수정한다. key_reason AI 생성 여부와 관계없이 과장 광고의 법적 책임은 게시한 회사에 있으며, 사실 확인 없는 광고 표현은 공정거래법 위반 위험이 있다.",,,,v1.1,approved,AXIS-L3-P-067,2,,
68,AXIS,L3,l3_risk,문항 8. 리스크 판단형 · 보안·개인정보·저작권·윤리 리스크 관리,5,"팀원이 AI로 생성한 보고서를 자신이 직접 작성한 것처럼 상사에게 제출하려 한다. '어차피 내가 지시한 거니까 내 작업물이다'라고 말한다.

[과업] 가장 위험한 요소를 선택하고, 즉시 해야 할 조치와 대체 방법을 제시하라.",,선택형 + 짧은 근거 서술,"개인정보 입력 금지, 외부 AI 사용 금지",LMS 내장 AI,"채점 요소 배점 기준 위험 식별 4 개인정보, 기밀정보, 저작권, 보안, 허위정보, 과장표현, 책임소재 위험을 식별 우선순위 3 가장 위험한 요소와 먼저 조치해야 할 항목을 정한다 대응조치 2 삭제, 익명화, 내부 승인, 원문 확인, 사용 금지 등 적절한 대응조치를 제시 근거 1 위험성과 조치 우선순위를 80~150자 내에서 설명",10,"highest_risk AI 활용 사실을 숨기고 본인 작성물로 제출하여 조직 내 투명성과 신뢰를 훼손하는 것 immediate_action AI 활용 사실을 상사에게 고지하고, 조직의 AI 활용 고지 기준이 있는지 확인한 뒤 기준에 따라 표기한다. key_reason AI로 생성한 결과물의 최종 책임은 제출자에게 있으며, AI 활용 사실을 고지하는 것이 조직 내 신뢰와 투명성을 유지하는 윤리적 기준이다.",개인정보 입력 기밀정보 입력 저작권 위험 보안 위험 책임소재 불명확,"highest_risk AI 활용 사실을 숨기고 본인 작성물로 제출하여 조직 내 투명성과 신뢰를 훼손하는 것 immediate_action AI 활용 사실을 상사에게 고지하고, 조직의 AI 활용 고지 기준이 있는지 확인한 뒤 기준에 따라 표기한다. key_reason AI로 생성한 결과물의 최종 책임은 제출자에게 있으며, AI 활용 사실을 고지하는 것이 조직 내 신뢰와 투명성을 유지하는 윤리적 기준이다.",,,,v1.1,approved,AXIS-L3-P-068,2,,
69,AXIS,L3,l3_risk,문항 9. 리스크 판단형 · 보안·개인정보·저작권·윤리 리스크 관리,5,"HR팀에서 AI 이력서 스크리닝 도구를 도입하려 한다. 테스트 결과 특정 대학 출신과 남성 지원자를 높게 평가하는 경향이 발견되었으나, 담당자는 'AI가 객관적으로 판단한 거니까 공정하다'고 말한다.

[과업] 가장 위험한 요소를 선택하고, 즉시 해야 할 조치와 대체 방법을 제시하라.",,선택형 + 짧은 근거 서술,"개인정보 입력 금지, 외부 AI 사용 금지",LMS 내장 AI,"채점 요소 배점 기준 위험 식별 4 개인정보, 기밀정보, 저작권, 보안, 허위정보, 과장표현, 책임소재 위험을 식별 우선순위 3 가장 위험한 요소와 먼저 조치해야 할 항목을 정한다 대응조치 2 삭제, 익명화, 내부 승인, 원문 확인, 사용 금지 등 적절한 대응조치를 제시 근거 1 위험성과 조치 우선순위를 80~150자 내에서 설명",10,"highest_risk AI의 편향된 평가 결과를 객관적이라고 신뢰하여 채용 차별이 발생하는 것 immediate_action 편향이 확인된 AI 도구의 사용을 중단하고, 학력·성별 편향의 원인을 분석한 뒤 편향 제거 후 재검증하거나 대안 도구를 검토한다. key_reason AI의 판단이 곧 객관적이라는 믿음은 위험하며, 학습 데이터의 편향이 채용 차별로 이어지면 법적·윤리적 책임이 발생한다.",개인정보 입력 기밀정보 입력 저작권 위험 보안 위험 책임소재 불명확,"highest_risk AI의 편향된 평가 결과를 객관적이라고 신뢰하여 채용 차별이 발생하는 것 immediate_action 편향이 확인된 AI 도구의 사용을 중단하고, 학력·성별 편향의 원인을 분석한 뒤 편향 제거 후 재검증하거나 대안 도구를 검토한다. key_reason AI의 판단이 곧 객관적이라는 믿음은 위험하며, 학습 데이터의 편향이 채용 차별로 이어지면 법적·윤리적 책임이 발생한다.",,,,v1.1,approved,AXIS-L3-P-069,2,,
70,AXIS,L3,l3_risk,문항 10. 리스크 판단형 · 보안·개인정보·저작권·윤리 리스크 관리,5,"팀원이 AI가 계산한 거래처 정산 금액을 검토 없이 그대로 입금 처리하려 한다. '계산은 AI가 더 정확하니까 따로 확인할 필요 없다'고 말한다.

[과업] 가장 위험한 요소를 선택하고, 즉시 해야 할 조치와 대체 방법을 제시하라.",,선택형 + 짧은 근거 서술,"개인정보 입력 금지, 외부 AI 사용 금지",LMS 내장 AI,"채점 요소 배점 기준 위험 식별 4 개인정보, 기밀정보, 저작권, 보안, 허위정보, 과장표현, 책임소재 위험을 식별 우선순위 3 가장 위험한 요소와 먼저 조치해야 할 항목을 정한다 대응조치 2 삭제, 익명화, 내부 승인, 원문 확인, 사용 금지 등 적절한 대응조치를 제시 근거 1 위험성과 조치 우선순위를 80~150자 내에서 설명",10,"highest_risk AI가 계산한 정산 금액을 사람 검토 없이 확정·입금 처리하여 오류 발생 시 재무 손실과 책임 문제가 생기는 것 immediate_action 입금을 보류하고, AI 계산 결과를 원자료와 대조하여 사람이 최종 확인한 뒤 결재 절차를 거쳐 처리한다. key_reason 정산·지급 등 확정 업무는 AI가 계산해도 사람이 반드시 최종 검증해야 하며, 오류의 책임은 확인 없이 실행한 담당자에게 있다.",개인정보 입력 기밀정보 입력 저작권 위험 보안 위험 책임소재 불명확,"highest_risk AI가 계산한 정산 금액을 사람 검토 없이 확정·입금 처리하여 오류 발생 시 재무 손실과 책임 문제가 생기는 것 immediate_action 입금을 보류하고, AI 계산 결과를 원자료와 대조하여 사람이 최종 확인한 뒤 결재 절차를 거쳐 처리한다. key_reason 정산·지급 등 확정 업무는 AI가 계산해도 사람이 반드시 최종 검증해야 하며, 오류의 책임은 확인 없이 실행한 담당자에게 있다.",,,,v1.1,approved,AXIS-L3-P-070,2,,
