no,cert_type,level,subject,domain_area,q_type,item_purpose,difficulty,content,option_a,option_b,option_c,option_d,correct_answer,points,explanation,source_ref,shuffle_exempt,review_status,review_comment,version,created_by,created_date
1,AXIS-C,L2,AI 코딩 도구 선택·활용 전략,코딩 도구 비교,multiple_choice,tool_use,medium,"GitHub Copilot, Cursor, Cody 등 AI 코딩 도구를 비교 선택할 때 가장 적절한 평가 기준은?",가장 비싼 도구가 코드 품질이 항상 높으므로 가격 기준으로 선택하면 된다.,사용자가 가장 많은 도구를 선택하면 업무에도 가장 적합하다.,"지원 언어·IDE 연동·코드 보안 정책·자동완성 정확도·팀 협업 기능을 비교하고, 실제 업무 코드로 파일럿 테스트한 후 선택한다.",AI 코딩 도구는 모두 동일한 성능을 제공하므로 비교할 필요가 없다.,C,4,"정답은 C입니다. AI 코딩 도구 선택 시 ①지원 언어(Python, JS, Java 등) ②IDE 연동(VS Code, JetBrains 등) ③코드 보안 정책(입력 코드 학습 여부) ④자동완성 정확도 ⑤팀 협업 기능을 비교해야 합니다. 광고가 아닌 실제 업무 코드로 파일럿 테스트하여 적합성을 검증하는 것이 핵심입니다.",AXIS-C L2 AI 코딩 도구 선택·활용 전략,False,approved,배치1 신규 출제,1,,
2,AXIS-C,L2,AI 코딩 도구 선택·활용 전략,자동화 파이프라인 설계,multiple_choice,tool_use,hard,"""CSV 데이터 수집 → 정제 → 분석 → 리포트 생성 → 이메일 발송""을 AI 코딩으로 자동화할 때 가장 적절한 설계 방식은?",AI에게 전체 파이프라인을 한 번에 생성해달라고 요청한다.,"각 단계를 독립 함수/모듈로 분리하여 AI에 개별 요청하고, 각 모듈을 단위 테스트한 후 파이프라인으로 조합한다. 에러 처리와 로깅도 단계별로 포함한다.",파이프라인 전체를 하나의 함수로 작성하면 관리가 쉽다.,자동화 파이프라인에는 AI 코딩을 활용할 수 없다.,B,4,정답은 B입니다. 자동화 파이프라인 설계에서 핵심은 각 단계를 독립 모듈로 분리하는 것입니다. ①모듈별 AI 코드 생성 ②단위 테스트 ③모듈 간 인터페이스 확인 ④에러 처리·로깅 포함 ⑤파이프라인 조합·통합 테스트 순서로 진행합니다. 한 번에 요청하면 복잡도가 높아 오류가 증가합니다. AI 코딩 도구를 업무에 효과적으로 활용하려면 체계적 접근과 검증이 필수적입니다.,AXIS-C L2 AI 코딩 도구 선택·활용 전략,False,approved,배치1 신규 출제,1,,
3,AXIS-C,L2,AI 코딩 도구 선택·활용 전략,코드 품질 검증 전략,multiple_choice,case_judgment,medium,AI가 생성한 200줄 코드의 품질을 검증할 때 가장 효율적인 순서는?,AI가 생성한 코드를 테스트 없이 배포해도 운영 환경에서 안전하게 동작한다.,"①실행 테스트(동작 확인) → ②핵심 로직 검토(비즈니스 규칙) → ③보안 점검(인증정보, 입력 검증) → ④에러 처리 확인 → ⑤코드 스타일·가독성 순서로 리스크 기반 검토한다.",코드의 보안 취약점은 AI 모델이 자동으로 탐지하여 제거하므로 별도 점검이 불필요하다.,AI 코딩 도구에서 생성된 함수는 항상 최적의 시간 복잡도를 보장하므로 성능 검토가 불필요하다.,B,4,"정답은 B입니다. AI 생성 코드의 품질 검증은 리스크 기반 우선순위로 진행합니다. ①실행(동작 여부) ②핵심 로직(비즈니스 규칙 정확성) ③보안(인증정보 노출, 인젝션) ④에러 처리(예외 상황 대응) ⑤스타일(가독성, 유지보수성) 순서입니다. 코드가 실행된다고 품질이 보장되는 것은 아닙니다.",AXIS-C L2 AI 코딩 도구 선택·활용 전략,False,approved,배치1 신규 출제,1,,
4,AXIS-C,L2,AI 코딩 도구 선택·활용 전략,디버깅 전략,multiple_choice,tool_use,medium,AI가 생성한 코드에서 TypeError가 발생했을 때 AI를 활용한 가장 효과적인 디버깅 방법은?,에러 메시지를 무시하고 코드를 처음부터 다시 작성한다.,TypeError는 AI가 자동으로 수정해준다.,에러가 나면 AI 도구를 교체해야 한다.,"에러 메시지 전문과 해당 코드를 AI에 제시하고, ①에러 원인 분석 ②수정 코드 ③재발 방지를 위한 타입 검증 로직 추가를 요청한다.",D,4,"정답은 D입니다. AI를 활용한 효과적인 디버깅은 ①에러 메시지 전문 제시 ②관련 코드 함께 입력 ③원인 분석 요청 ④수정 코드 요청 ⑤재발 방지 로직(타입 체크, 예외 처리) 추가 요청입니다. 에러 메시지를 정확히 제시하면 AI가 원인을 정확히 파악할 수 있습니다. AI 코딩 도구를 업무에 효과적으로 활용하려면 체계적 접근과 검증이 필수적입니다.",AXIS-C L2 AI 코딩 도구 선택·활용 전략,False,approved,배치1 신규 출제,1,,
5,AXIS-C,L2,AI 코딩 도구 선택·활용 전략,테스트 코드 생성,multiple_choice,tool_use,easy,AI에게 단위 테스트 코드를 요청할 때 가장 적절한 방법은?,"AI에게 ""테스트 만들어줘""라고만 요청하면 모든 경우를 자동으로 커버한다.",테스트 코드는 코드 작성 후 필요하지 않으므로 AI에게 요청할 필요가 없다.,"테스트 대상 함수의 코드와 함께 정상 입력, 경계값, 예외 상황, 빈 데이터에 대한 테스트 케이스를 구체적으로 요청하고, AI가 놓친 엣지 케이스를 직접 추가한다.",AI가 생성한 코드에는 버그가 없으므로 테스트가 불필요하다.,C,4,"정답은 C입니다. AI에게 테스트 코드를 요청할 때는 ①테스트 대상 함수 코드 제공 ②정상 입력 테스트 ③경계값(0, 빈 리스트, 최대값) ④예외 상황(None, 잘못된 타입) ⑤비즈니스 규칙 검증을 구체적으로 요청합니다. AI가 놓칠 수 있는 엣지 케이스는 사람이 추가해야 합니다. AI 코딩 도구를 업무에 효과적으로 활용하려면 체계적 접근과 검증이 필수적입니다.",AXIS-C L2 AI 코딩 도구 선택·활용 전략,False,approved,배치1 신규 출제,1,,
6,AXIS-C,L2,AI 코딩 도구 선택·활용 전략,코드 리팩토링 판단,multiple_choice,case_judgment,medium,AI가 생성한 코드가 동작은 하지만 300줄짜리 단일 함수로 작성되었을 때 가장 적절한 대응은?,"AI에게 ""이 함수를 기능별로 분리하고, 각 함수에 docstring과 타입 힌트를 추가해줘""라고 요청하여 유지보수 가능한 구조로 리팩토링한다.",모든 AI 코딩 도구는 동일한 코드 품질을 보장하므로 도구 간 비교가 불필요하다.,AI가 추천한 라이브러리는 모두 상업적으로 자유롭게 사용할 수 있으므로 라이선스를 확인할 필요가 없다.,코드 리팩토링은 기능 동작에 영향을 주므로 동작하는 코드는 수정하지 않는 것이 바람직하다.,A,4,정답은 A입니다. 300줄 단일 함수는 유지보수성이 떨어집니다. AI에게 ①기능별 분리(Single Responsibility) ②docstring 추가(문서화) ③타입 힌트 추가(안정성) ④변수명 의미화를 요청하면 같은 기능을 유지하면서 구조를 개선할 수 있습니다. 리팩토링 후 동작 동일성을 테스트로 확인해야 합니다.,AXIS-C L2 AI 코딩 도구 선택·활용 전략,False,approved,배치1 신규 출제,1,,
7,AXIS-C,L2,AI 코딩 도구 선택·활용 전략,코드 문서화 자동화,multiple_choice,tool_use,easy,AI를 활용하여 코드 문서화를 효율적으로 수행하는 방법으로 가장 적절한 것은?,"AI에게 코드를 제시하고 함수별 docstring, 모듈 설명, 사용 예시, 의존성 목록을 포함한 문서를 요청한 후, 비즈니스 맥락에 맞게 검토·보완한다.",코드에 주석을 달지 않아도 AI가 자동으로 문서를 생성해준다.,문서화는 코드 완성 후에만 수행할 수 있으며 AI를 활용할 수 없다.,코드에 주석만 추가하면 문서화가 완료된다.,A,4,"정답은 A입니다. AI 기반 코드 문서화는 ①함수별 docstring(목적, 매개변수, 반환값) ②모듈 설명 ③사용 예시 ④의존성 목록을 AI에게 생성 요청합니다. AI가 생성한 문서가 코드의 실제 동작과 일치하는지, 비즈니스 맥락에 맞는지 반드시 검토해야 합니다. AI 코딩 도구를 업무에 효과적으로 활용하려면 체계적 접근과 검증이 필수적입니다.",AXIS-C L2 AI 코딩 도구 선택·활용 전략,False,approved,배치1 신규 출제,1,,
8,AXIS-C,L2,AI 코딩 도구 선택·활용 전략,AI 생성 코드 성능 최적화,multiple_choice,case_judgment,hard,"AI가 생성한 코드가 소규모 데이터에서는 잘 동작하지만, 10만 건 데이터에서 매우 느린 경우 가장 적절한 대응은?",코드의 성능 최적화와 보안 검토는 AI 도구가 자동으로 수행하므로 사용자가 추가로 확인할 필요가 없다.,"AI에게 현재 코드와 성능 문제(10만 건에서 느림)를 설명하고, ①시간 복잡도 분석 ②성능 병목 식별 ③최적화된 코드(벡터 연산, 배치 처리 등) 제안을 요청한다. 최적화 전후 성능을 비교 측정한다.",AI가 생성한 코드는 성능과 보안이 자동으로 최적화되므로 별도 검증 절차 없이 운영 환경에 바로 배포할 수 있다.,AI 코딩 도구를 사용하면 모든 에러가 자동으로 방지되므로 테스트 코드를 작성할 필요가 없다.,B,4,"정답은 B입니다. AI 생성 코드의 성능 최적화는 ①현재 코드와 성능 문제 설명 ②시간 복잡도 분석 요청 ③병목 지점 식별 ④최적화 코드 제안(for 루프→벡터 연산, 건건 처리→배치 처리 등) ⑤최적화 전후 성능 비교의 순서로 진행합니다. AI는 대안을 제시하지만 최종 검증은 사람이 수행합니다.",AXIS-C L2 AI 코딩 도구 선택·활용 전략,False,approved,배치1 신규 출제,1,,
9,AXIS-C,L2,AI 코딩 도구 선택·활용 전략,코드 버전 관리와 AI,multiple_choice,tool_use,medium,AI가 생성한 코드를 Git으로 관리할 때 가장 적절한 방법은?,AI 생성 코드는 Git으로 관리할 필요가 없다.,"AI 생성 원본, 사람의 검토·수정 내역, 테스트 결과를 커밋 메시지에 명시하고, 코드 리뷰 프로세스를 거쳐 main 브랜치에 병합한다.",AI가 생성한 코드는 별도 브랜치 없이 바로 main에 커밋해도 된다.,Git은 AI 코드와 호환되지 않는다.,B,4,정답은 B입니다. AI 생성 코드도 일반 코드와 동일한 Git 관리 체계를 적용합니다. ①feature 브랜치에서 작업 ②커밋 메시지에 AI 활용 사실 기록 ③코드 리뷰(사람+자동) ④테스트 통과 확인 ⑤main 병합의 절차를 따릅니다. 이를 통해 이력 추적과 품질 관리가 가능합니다. AI 코딩 도구를 업무에 효과적으로 활용하려면 체계적 접근과 검증이 필수적입니다.,AXIS-C L2 AI 코딩 도구 선택·활용 전략,False,approved,배치1 신규 출제,1,,
10,AXIS-C,L2,AI 코딩 도구 선택·활용 전략,API 연동 코드 설계,multiple_choice,tool_use,hard,AI에게 외부 REST API 연동 코드를 요청할 때 가장 적절한 프롬프트 전략은?,AI 코딩 도구를 사용하면 모든 에러가 자동으로 방지되므로 테스트 코드를 작성할 필요가 없다.,"API 엔드포인트, 인증 방식(Bearer Token), 요청/응답 형식(JSON), 에러 코드별 처리, 재시도 로직, 타임아웃 설정을 구체적으로 명시하고, API 키는 환경변수 방식으로 처리하도록 요청한다.",AI가 생성한 코드는 성능과 보안이 자동으로 최적화되므로 별도 검증 절차 없이 운영 환경에 바로 배포할 수 있다.,코드의 성능 최적화와 보안 검토는 AI 도구가 자동으로 수행하므로 사용자가 추가로 확인할 필요가 없다.,B,4,정답은 B입니다. API 연동 코드 요청 시 ①엔드포인트 URL ②인증 방식 ③요청/응답 형식 ④에러 코드별 처리 ⑤재시도·타임아웃 ⑥인증정보 환경변수 처리를 구체적으로 명시해야 안전하고 안정적인 코드를 얻을 수 있습니다. API 키를 코드에 하드코딩하면 보안 위험이 발생합니다. AI 코딩 도구를 업무에 효과적으로 활용하려면 체계적 접근과 검증이 필수적입니다.,AXIS-C L2 AI 코딩 도구 선택·활용 전략,False,approved,배치1 신규 출제,1,,
