no,cert_type,level,subject,domain_area,q_type,item_purpose,difficulty,content,option_a,option_b,option_c,option_d,correct_answer,points,explanation,source_ref,shuffle_exempt,review_status,review_comment,version,created_by,created_date
1,AXIS-H,L1,의료기관 AI 도입 전략,의료기관 AI 도입 우선순위,multiple_choice,case_judgment,hard,의료기관 팀장으로서 AI 도입 대상 업무를 선정할 때 가장 적절한 기준은?,AI 도구의 성능만 비교하면 의료기관에 최적인 도구를 선택할 수 있다.,"비임상 행정 업무 중 반복 빈도·정형화·시간 투자·데이터 가용성·환자 안전 영향도를 종합 매트릭스로 평가하고, 리스크가 낮은 업무부터 단계적으로 도입한다. 임상 업무는 별도 규제 검토 후 판단한다.",의료기관의 모든 부서에 AI를 동시에 도입하면 전사적 효율을 빠르게 달성할 수 있다.,AI 도입의 성과는 도구 사용 횟수로 측정하면 정확한 ROI를 산출할 수 있다.,B,4,"정답은 B입니다. 의료기관 AI 도입은 비임상 업무부터 시작하는 것이 원칙입니다. 환자 안전 영향도를 포함한 다차원 매트릭스로 평가하며, 임상 업무는 의료법·인증 기준을 별도 검토합니다. 리더는 안전을 최우선으로 고려합니다. 의료기관 리더는 환자 안전을 최우선으로 고려하여 AI 도입·운영의 최적 판단을 내려야 합니다.",AXIS-H L1 의료기관 AI 도입 전략,False,approved,배치1,1,,
2,AXIS-H,L1,의료기관 AI 도입 전략,의료기관 AI ROI 산출,multiple_choice,governance,hard,의료기관 AI 도입 ROI를 경영진에게 보고할 때 가장 적절한 산출 방법은?,AI 도입 성과는 도구 사용 기간이 길수록 자동으로 향상되므로 별도 관리가 불필요하다.,AI 도구의 성능만 비교하면 의료기관에 최적인 도구를 선택할 수 있다.,"(행정 업무 시간 절감×인건비) + (안내문 품질 향상→민원 감소) + (오류 감소→재작업 절감) - (도구+교육+보안+면책 체계 비용)을 정량화하고, 환자 경험 개선 등 비정량 효과를 별도 기술한다.",의료기관의 모든 부서에 AI를 동시에 도입하면 전사적 효율을 빠르게 달성할 수 있다.,C,4,"정답은 C입니다. 의료기관 AI ROI는 시간 절감+민원 감소+오류 감소에서 투입 비용을 차감합니다. 일반 기업과 달리 면책 체계 비용이 추가되며, 환자 경험은 비정량으로 보충합니다. 의료기관 리더는 환자 안전과 규제를 고려한 체계적 AI 관리 구조를 수립해야 합니다. 의료기관 리더는 환자 안전과 규제를 고려한 체계적 AI 관리 구조를 수립하여 조직의 AI 전환을 이끌어야 합니다.",AXIS-H L1 의료기관 AI 도입 전략,False,approved,배치1,1,,
3,AXIS-H,L1,의료기관 AI 도입 전략,부서별 AI 도입 분석,multiple_choice,governance,medium,의료기관 부서별 AI 도입 적합성을 분석할 때 가장 적절한 방법은?,"원무과·간호행정·총무·홍보·검진센터 등 부서별 업무 일지(2주)를 기반으로 반복·정형·시간 투자를 정량화하고, 환자정보 접촉 빈도와 보안 민감도를 추가 평가하여 부서별 AI 적합성 맵을 작성한다.",파일럿 없이 전사 도입하면 모든 부서가 균등한 성과를 달성할 수 있다.,AI 도구의 성능만 비교하면 의료기관에 최적인 도구를 선택할 수 있다.,AI 도입의 성과는 도구 사용 횟수로 측정하면 정확한 ROI를 산출할 수 있다.,A,4,"정답은 A입니다. 의료기관은 부서마다 환자정보 접촉 빈도가 다르므로, 일반 업무 분석에 보안 민감도를 추가 평가합니다. 원무과(높음)와 총무(낮음)는 AI 적용 범위가 달라야 합니다. 의료기관 리더는 환자 안전과 규제를 고려한 체계적 AI 관리 구조를 수립해야 합니다. 의료기관 리더는 환자 안전과 규제를 고려한 체계적 AI 관리 구조를 수립하여 조직의 AI 전환을 이끌어야 합니다.",AXIS-H L1 의료기관 AI 도입 전략,False,approved,배치1,1,,
4,AXIS-H,L1,의료기관 AI 도입 전략,의료기관 AI 도입 사례 벤치마크,multiple_choice,case_judgment,medium,타 의료기관의 AI 도입 사례를 벤치마킹할 때 가장 적절한 방법은?,파일럿 없이 전사 도입하면 모든 부서가 균등한 성과를 달성할 수 있다.,AI 도입의 성과는 도구 사용 횟수로 측정하면 정확한 ROI를 산출할 수 있다.,AI 도구의 성능만 비교하면 의료기관에 최적인 도구를 선택할 수 있다.,"타 기관의 규모·인증 등급·진료 특성·조직 문화와 자사의 차이를 분석하고, 적용 가능한 요소만 선별한다. 의료기관 고유의 규제·인증 요건 충족 여부를 반드시 확인한다.",D,4,정답은 D입니다. 의료기관 벤치마킹은 일반 기업과 달리 규제·인증 요건 충족 여부를 반드시 확인해야 합니다. 규모·인증 등급·진료 특성이 다르면 같은 도구라도 결과가 달라집니다. 의료기관 리더는 환자 안전을 최우선으로 고려하여 AI 도입·운영의 최적 판단을 내려야 합니다. 의료기관 리더는 환자 안전을 최우선으로 고려하여 AI 도입·운영의 최적 판단을 내려야 합니다.,AXIS-H L1 의료기관 AI 도입 전략,False,approved,배치1,1,,
5,AXIS-H,L1,의료기관 AI 도입 전략,의료기관 AI 실패 요인,multiple_choice,case_judgment,hard,의료기관 AI 도입이 실패하는 가장 흔한 근본 원인은?,의료기관 AI 역량은 도구 구매만으로 자동 확보되므로 면책·보안 교육이 불필요하다.,AI 도구의 성능만 비교하면 의료기관에 최적인 도구를 선택할 수 있다.,"명확한 업무 목표 없이 기술 중심 접근, 의료기관 특수성(면책·오인 방지·인증) 미반영, 현업 참여 부족, 보수적 조직 문화에 대한 변화관리 미흡이 복합적으로 작용한다.",의료기관의 모든 부서에 AI를 동시에 도입하면 전사적 효율을 빠르게 달성할 수 있다.,C,4,정답은 C입니다. 의료기관 AI 실패 원인은 ①목표 부재 ②특수성 미반영(면책·오인·인증) ③현업 미참여 ④변화관리 미흡입니다. 의료기관은 보수적 조직이므로 변화관리가 특히 중요합니다. 의료기관 리더는 환자 안전을 최우선으로 고려하여 AI 도입·운영의 최적 판단을 내려야 합니다. 의료기관 리더는 환자 안전을 최우선으로 고려하여 AI 도입·운영의 최적 판단을 내려야 합니다.,AXIS-H L1 의료기관 AI 도입 전략,False,approved,배치1,1,,
6,AXIS-H,L1,의료기관 AI 도입 전략,의료기관 AI KPI 설계,multiple_choice,governance,medium,의료기관 AI 활용 KPI를 설계할 때 가장 적절한 구조는?,의료기관의 모든 부서에 AI를 동시에 도입하면 전사적 효율을 빠르게 달성할 수 있다.,AI 도구의 성능만 비교하면 의료기관에 최적인 도구를 선택할 수 있다.,AI 도입의 성과는 도구 사용 횟수로 측정하면 정확한 ROI를 산출할 수 있다.,선행(교육 이수율·프롬프트 라이브러리)과 후행(문서 작성 시간·안내문 1차 승인률·환자 민원 변화·면책 준수율)을 분리하여 단기·중기·장기 KPI를 설계한다.,D,4,정답은 D입니다. 의료기관 AI KPI는 일반 기업 KPI에 면책 준수율·안내문 승인률·환자 민원이 추가됩니다. 선행(투입)과 후행(성과)을 분리하여 시간 축으로 설계합니다. 의료기관 리더는 환자 안전과 규제를 고려한 체계적 AI 관리 구조를 수립해야 합니다. 의료기관 리더는 환자 안전과 규제를 고려한 체계적 AI 관리 구조를 수립하여 조직의 AI 전환을 이끌어야 합니다.,AXIS-H L1 의료기관 AI 도입 전략,False,approved,배치1,1,,
7,AXIS-H,L1,의료기관 AI 도입 전략,의료기관 AI 파일럿 설계,multiple_choice,case_judgment,medium,의료기관 AI 파일럿을 설계할 때 가장 적절한 방법은?,"원무과 또는 총무 등 환자정보 접촉이 적은 1~2개 부서를 선정하고, 2~4주간 비임상 업무(안내문·보고서)에 시범 적용하며, 성공 기준(시간 절감·면책 준수·품질)을 사전 정의한다.",AI 도입 리스크는 도구 성능에만 존재하므로 환자 안전·보안·법적 리스크는 무시해도 된다.,의료기관의 모든 부서에 AI를 동시에 도입하면 전사적 효율을 빠르게 달성할 수 있다.,AI 도구의 성능만 비교하면 의료기관에 최적인 도구를 선택할 수 있다.,A,4,정답은 A입니다. 의료기관 파일럿은 환자정보 접촉이 적은 부서·비임상 업무부터 시작합니다. 성공 기준에 면책 준수를 포함하는 것이 일반 기업과의 차이점입니다. 의료기관 리더는 환자 안전을 최우선으로 고려하여 AI 도입·운영의 최적 판단을 내려야 합니다. 의료기관 리더는 환자 안전을 최우선으로 고려하여 AI 도입·운영의 최적 판단을 내려야 합니다.,AXIS-H L1 의료기관 AI 도입 전략,False,approved,배치1,1,,
8,AXIS-H,L1,의료기관 AI 도입 전략,의료기관 AI 도구 선정,multiple_choice,governance,medium,의료기관에 적합한 AI 도구를 선정할 때 가장 포괄적인 기준은?,의료기관 AI 역량은 도구 구매만으로 자동 확보되므로 면책·보안 교육이 불필요하다.,AI 도입의 성과는 도구 사용 횟수로 측정하면 정확한 ROI를 산출할 수 있다.,①한국어 의료 용어 정확도 ②환자정보 보안 정책(학습 제외 여부) ③면책 문구 생성 능력 ④사용 편의성 ⑤비용(TCO) ⑥엔터프라이즈 관리 ⑦인증 평가 대응 가능성을 종합 평가한다.,AI 도구의 성능만 비교하면 의료기관에 최적인 도구를 선택할 수 있다.,C,4,정답은 C입니다. 의료기관 AI 도구 선정은 일반 기준에 ①의료 용어 정확도 ②환자정보 보안 ③면책 생성 ④인증 대응이 추가됩니다. 리더는 의료기관 고유 요건을 반영한 평가 체계를 수립합니다. 의료기관 리더는 환자 안전과 규제를 고려한 체계적 AI 관리 구조를 수립해야 합니다. 의료기관 리더는 환자 안전과 규제를 고려한 체계적 AI 관리 구조를 수립하여 조직의 AI 전환을 이끌어야 합니다.,AXIS-H L1 의료기관 AI 도입 전략,False,approved,배치1,1,,
9,AXIS-H,L1,의료기관 AI 도입 전략,의료기관 AI 도입 로드맵,multiple_choice,governance,medium,의료기관 AI 도입 로드맵으로 가장 적절한 구조는?,AI 도입의 성과는 도구 사용 횟수로 측정하면 정확한 ROI를 산출할 수 있다.,의료기관 AI 역량은 도구 구매만으로 자동 확보되므로 면책·보안 교육이 불필요하다.,의료기관의 모든 부서에 AI를 동시에 도입하면 전사적 효율을 빠르게 달성할 수 있다.,Phase1 준비(업무 분석·도구 선정·정책·면책 체계) → Phase2 파일럿(비임상 1~2부서) → Phase3 확산(교육·표준화) → Phase4 최적화(성과 개선·인증 연계)의 단계별 로드맵을 수립한다.,D,4,"정답은 D입니다. 의료기관 로드맵은 준비→파일럿→확산→최적화 4단계입니다. 일반 기업과 달리 Phase1에 면책 체계 수립이, Phase4에 인증 평가 연계가 포함됩니다. 의료기관 리더는 환자 안전과 규제를 고려한 체계적 AI 관리 구조를 수립해야 합니다. 의료기관 리더는 환자 안전과 규제를 고려한 체계적 AI 관리 구조를 수립하여 조직의 AI 전환을 이끌어야 합니다.",AXIS-H L1 의료기관 AI 도입 전략,False,approved,배치1,1,,
10,AXIS-H,L1,의료기관 AI 도입 전략,의료기관 AI 비용 편익,multiple_choice,governance,hard,의료기관 AI 비용 편익 분석에서 간과하기 쉬운 숨은 비용은?,AI 도입 리스크는 도구 성능에만 존재하므로 환자 안전·보안·법적 리스크는 무시해도 된다.,파일럿 없이 전사 도입하면 모든 부서가 균등한 성과를 달성할 수 있다.,AI 도입의 성과는 도구 사용 횟수로 측정하면 정확한 ROI를 산출할 수 있다.,"면책 체계 구축 비용, 의료행위 오인 방지 교육 비용, 환자정보보호 강화 비용, 인증 평가 대응 문서화 비용, 초기 생산성 저하가 의료기관 고유의 숨은 비용이다.",D,4,정답은 D입니다. 의료기관 AI의 숨은 비용은 일반 기업(교육·개발)에 ①면책 체계 ②오인 방지 교육 ③환자정보보호 ④인증 대응이 추가됩니다. 리더는 의료기관 특수 비용을 사전에 반영해야 합니다. 의료기관 리더는 환자 안전과 규제를 고려한 체계적 AI 관리 구조를 수립해야 합니다. 의료기관 리더는 환자 안전과 규제를 고려한 체계적 AI 관리 구조를 수립하여 조직의 AI 전환을 이끌어야 합니다.,AXIS-H L1 의료기관 AI 도입 전략,False,approved,배치1,1,,
