no,cert_type,level,subject,domain_area,q_type,item_purpose,difficulty,content,option_a,option_b,option_c,option_d,correct_answer,points,explanation,source_ref,shuffle_exempt,review_status,review_comment,version,created_by,created_date
1,AXIS-C,L1,AI 코딩 도입 전략·ROI,AI 코딩 도입 우선순위,multiple_choice,case_judgment,hard,팀장으로서 AI 코딩 도구 도입 대상 업무를 선정할 때 가장 적절한 우선순위 판단 기준은?,AI 코딩 도구의 성능만 비교하면 조직에 최적인 도구를 선택할 수 있다.,모든 코딩 업무에 AI를 동시에 적용하면 전사적 개발 효율을 빠르게 달성할 수 있다.,"반복성(같은 패턴의 코드 작성 빈도)·정형성(규칙 기반 코드 비율)·개발 시간 투자(월 기준)·코드 복잡도·보안 민감도를 종합 매트릭스로 평가하고, 점수가 높은 업무부터 단계적으로 도입한다.",AI 코딩의 성과는 코드 생성 줄 수로 측정하면 정확한 ROI를 산출할 수 있다.,C,4,"정답은 C입니다. AI 코딩 도입 우선순위는 반복성·정형성·시간 투자·복잡도·보안을 종합 평가합니다. 복잡한 작업부터 시작하면 실패 위험이 높으므로, 반복·정형 업무부터 Quick Win을 확보하는 것이 리더의 전략입니다. 리더는 조직의 AI 코딩 도입·운영에 관한 최적의 판단을 내려야 합니다.",AXIS-C L1 AI 코딩 도입 전략·ROI,False,approved,배치1,1,,
2,AXIS-C,L1,AI 코딩 도입 전략·ROI,AI 코딩 ROI 산출,multiple_choice,governance,hard,AI 코딩 도구 도입의 ROI를 경영진에게 보고할 때 가장 적절한 산출 방법은?,"(개발 시간 절감×시간당 인건비) + (버그 감소율×버그당 수정 비용) + (코드 리뷰 시간 절감) - (도구+교육+보안 점검 비용)을 정량화하여 순 ROI를 산출하고, 코드 품질 향상 등 비정량 효과를 별도 기술한다.",AI 코딩의 성과는 코드 생성 줄 수로 측정하면 정확한 ROI를 산출할 수 있다.,코드 리뷰는 AI가 완전히 대체할 수 있으므로 사람의 리뷰가 불필요하다.,모든 코딩 업무에 AI를 동시에 적용하면 전사적 개발 효율을 빠르게 달성할 수 있다.,A,4,"정답은 A입니다. AI 코딩 ROI는 시간 절감+버그 감소+리뷰 효율에서 투입 비용을 차감하여 산출합니다. 리더는 경영진에게 정량 ROI를 제시하고, 코드 품질·개발자 만족도 등 비정량 효과를 보충합니다. 리더는 AI 코딩의 방향을 설정하고 체계적 관리 구조를 수립해야 합니다. 리더는 AI 코딩의 방향을 설정하고 체계적 관리 구조를 수립하여 조직의 개발 역량을 전환해야 합니다.",AXIS-C L1 AI 코딩 도입 전략·ROI,False,approved,배치1,1,,
3,AXIS-C,L1,AI 코딩 도입 전략·ROI,자체 개발 vs AI 코딩 판단,multiple_choice,case_judgment,hard,"신규 기능 개발 시 ""개발자 직접 코딩""과 ""AI 코딩 도구 활용"" 중 선택하는 가장 적절한 판단 기준은?",AI 코딩 도구의 성능만 비교하면 조직에 최적인 도구를 선택할 수 있다.,모든 코딩 업무에 AI를 동시에 적용하면 전사적 개발 효율을 빠르게 달성할 수 있다.,AI 코딩의 성과는 코드 생성 줄 수로 측정하면 정확한 ROI를 산출할 수 있다.,"업무의 독창성(신규 알고리즘→직접), 반복성(CRUD·보일러플레이트→AI), 보안 민감도(결제·인증→직접+AI 보조), 시간 제약, 팀 역량을 종합 판단하여 업무별로 AI 활용 범위를 결정한다.",D,4,"정답은 D입니다. 직접 vs AI 판단은 독창성·반복성·보안·시간·역량을 종합합니다. 보일러플레이트는 AI가, 핵심 비즈니스 로직은 개발자가 담당하는 역할 분담이 효과적입니다. 리더는 조직의 AI 코딩 도입·운영에 관한 최적의 판단을 내려야 합니다. 리더는 조직의 AI 코딩 도입·운영에 관한 최적의 판단을 내려야 합니다. 이 문항은 L1 수준의 전략적 의사결정 역량을 확인합니다.",AXIS-C L1 AI 코딩 도입 전략·ROI,False,approved,배치1,1,,
4,AXIS-C,L1,AI 코딩 도입 전략·ROI,시민 개발자 육성 전략,multiple_choice,governance,medium,비전공 직원을 AI 코딩 시민 개발자(Citizen Developer)로 육성하는 전략은?,AI 코딩 도구의 성능만 비교하면 조직에 최적인 도구를 선택할 수 있다.,AI 코딩의 성과는 코드 생성 줄 수로 측정하면 정확한 ROI를 산출할 수 있다.,모든 코딩 업무에 AI를 동시에 적용하면 전사적 개발 효율을 빠르게 달성할 수 있다.,"코드 읽기 역량+AI 프롬프트 설계+결과 검증 능력에 집중하여 교육하고, 승인된 범위(내부 자동화·데이터 정리) 내에서 AI 코딩을 허용하며, 보안 가이드라인을 준수하도록 관리한다.",D,4,"정답은 D입니다. 시민 개발자 육성은 ①코드 읽기 ②프롬프트 설계 ③결과 검증에 집중합니다. 이론이 아닌 실무 역량이며, 승인 범위 내에서 보안 가이드를 준수하도록 관리하는 것이 리더의 역할입니다. 리더는 AI 코딩의 방향을 설정하고 체계적 관리 구조를 수립해야 합니다. 리더는 AI 코딩의 방향을 설정하고 체계적 관리 구조를 수립하여 조직의 개발 역량을 전환해야 합니다.",AXIS-C L1 AI 코딩 도입 전략·ROI,False,approved,배치1,1,,
5,AXIS-C,L1,AI 코딩 도입 전략·ROI,AI 코딩 도구 도입 사례 평가,multiple_choice,case_judgment,medium,타사의 AI 코딩 도입 사례를 벤치마킹할 때 가장 적절한 평가 관점은?,모든 코딩 업무에 AI를 동시에 적용하면 전사적 개발 효율을 빠르게 달성할 수 있다.,파일럿 없이 전사 도입하면 시간을 절약하고 모든 팀이 균등한 성과를 달성할 수 있다.,"타사의 개발 문화·기술 스택·팀 규모·보안 수준과 자사의 차이를 분석하고, 적용 가능한 요소만 선별하여 자사 환경에 맞게 재설계한다. 실패 사례의 교훈도 함께 수집한다.",AI 코딩 도구의 성능만 비교하면 조직에 최적인 도구를 선택할 수 있다.,C,4,정답은 C입니다. 벤치마킹의 핵심은 맥락 분석입니다. 개발 문화·스택·규모·보안이 다르면 같은 도구라도 결과가 달라집니다. 리더는 성공+실패 사례를 모두 수집하여 자사에 적용 가능한 요소를 선별합니다. 리더는 조직의 AI 코딩 도입·운영에 관한 최적의 판단을 내려야 합니다. 리더는 조직의 AI 코딩 도입·운영에 관한 최적의 판단을 내려야 합니다. 이 문항은 L1 수준의 전략적 의사결정 역량을 확인합니다.,AXIS-C L1 AI 코딩 도입 전략·ROI,False,approved,배치1,1,,
6,AXIS-C,L1,AI 코딩 도입 전략·ROI,AI 코딩 도입 로드맵,multiple_choice,governance,medium,조직의 AI 코딩 도입 로드맵으로 가장 적절한 구조는?,AI 코딩 프로젝트의 리스크는 도구 성능에만 존재하므로 보안·법적 리스크는 무시해도 된다.,Phase1 준비(업무 분석·도구 선정·보안 정책) → Phase2 파일럿(1~2팀 시범·측정) → Phase3 확산(팀별 교육·표준화) → Phase4 최적화(코드 리뷰 통합·성과 개선)의 단계별 로드맵을 수립한다.,모든 코딩 업무에 AI를 동시에 적용하면 전사적 개발 효율을 빠르게 달성할 수 있다.,AI 코딩의 성과는 코드 생성 줄 수로 측정하면 정확한 ROI를 산출할 수 있다.,B,4,"정답은 B입니다. AI 코딩 로드맵은 준비→파일럿→확산→최적화의 단계입니다. 각 단계에 목표·산출물·판단 기준을 정의하고, 파일럿 결과에 따라 확산 속도를 조절하는 것이 리더의 역할입니다. 리더는 AI 코딩의 방향을 설정하고 체계적 관리 구조를 수립해야 합니다. 리더는 AI 코딩의 방향을 설정하고 체계적 관리 구조를 수립하여 조직의 개발 역량을 전환해야 합니다.",AXIS-C L1 AI 코딩 도입 전략·ROI,False,approved,배치1,1,,
7,AXIS-C,L1,AI 코딩 도입 전략·ROI,AI 코딩 KPI 설계,multiple_choice,governance,medium,AI 코딩 도입의 KPI를 설계할 때 가장 적절한 구조는?,AI 코딩 프로젝트의 리스크는 도구 성능에만 존재하므로 보안·법적 리스크는 무시해도 된다.,AI 코딩의 성과는 코드 생성 줄 수로 측정하면 정확한 ROI를 산출할 수 있다.,"선행 지표(교육 이수율·도구 채택률)와 후행 지표(개발 시간 절감·버그 감소율·코드 리뷰 시간·배포 주기)를 분리하고, 코드 품질(테스트 커버리지·기술 부채)도 포함하여 균형 KPI를 설계한다.",모든 코딩 업무에 AI를 동시에 적용하면 전사적 개발 효율을 빠르게 달성할 수 있다.,C,4,"정답은 C입니다. AI 코딩 KPI는 ①선행(교육·채택) ②후행(시간·버그·리뷰·배포) ③품질(커버리지·기술 부채)의 균형 구조입니다. 코드 줄 수는 품질과 무관하며, 만족도만으로는 성과를 증명할 수 없습니다. 리더는 AI 코딩의 방향을 설정하고 체계적 관리 구조를 수립해야 합니다. 리더는 AI 코딩의 방향을 설정하고 체계적 관리 구조를 수립하여 조직의 개발 역량을 전환해야 합니다.",AXIS-C L1 AI 코딩 도입 전략·ROI,False,approved,배치1,1,,
8,AXIS-C,L1,AI 코딩 도입 전략·ROI,AI 코딩 비용 편익 분석,multiple_choice,governance,hard,AI 코딩의 비용 편익 분석에서 간과하기 쉬운 숨은 비용은?,AI 코딩 표준은 한 번 수립하면 기술이 변해도 업데이트할 필요가 없다.,"프롬프트 최적화 시간, AI 생성 코드 검토·테스트 비용, 보안 점검 추가 비용, 초기 생산성 저하(학습 곡선), 기존 워크플로우 재설계 비용이 숨은 비용이다.",코드 리뷰는 AI가 완전히 대체할 수 있으므로 사람의 리뷰가 불필요하다.,AI 코딩 도구의 성능만 비교하면 조직에 최적인 도구를 선택할 수 있다.,B,4,정답은 B입니다. AI 코딩의 숨은 비용에는 프롬프트 최적화·코드 검토·보안 점검·학습 곡선·워크플로우 재설계가 포함됩니다. 이를 간과하면 ROI가 과대 추정되어 경영진 기대와 괴리가 발생합니다. 리더는 AI 코딩의 방향을 설정하고 체계적 관리 구조를 수립해야 합니다. 리더는 AI 코딩의 방향을 설정하고 체계적 관리 구조를 수립하여 조직의 개발 역량을 전환해야 합니다.,AXIS-C L1 AI 코딩 도입 전략·ROI,False,approved,배치1,1,,
9,AXIS-C,L1,AI 코딩 도입 전략·ROI,AI 코딩 파일럿 설계,multiple_choice,case_judgment,medium,AI 코딩 파일럿을 설계할 때 가장 적절한 방법은?,AI 코딩의 성과는 코드 생성 줄 수로 측정하면 정확한 ROI를 산출할 수 있다.,코드 리뷰는 AI가 완전히 대체할 수 있으므로 사람의 리뷰가 불필요하다.,"1~2개 팀의 반복·정형 업무(데이터 처리·CRUD 등)를 선정하고, 2~4주간 시행하며, 성공 기준(시간 절감률·코드 품질·보안 준수)을 사전 정의하고 측정한다.",모든 코딩 업무에 AI를 동시에 적용하면 전사적 개발 효율을 빠르게 달성할 수 있다.,C,4,정답은 C입니다. AI 코딩 파일럿은 ①소규모(1~2팀) ②쉬운 업무(반복·정형) ③사전 성공 기준 ④기간 제한(2~4주)으로 설계합니다. 복잡한 프로젝트로 시작하면 실패 위험이 높아 AI 코딩에 대한 부정적 인식이 형성됩니다. 리더는 조직의 AI 코딩 도입·운영에 관한 최적의 판단을 내려야 합니다.,AXIS-C L1 AI 코딩 도입 전략·ROI,False,approved,배치1,1,,
10,AXIS-C,L1,AI 코딩 도입 전략·ROI,AI 코딩 실패 요인,multiple_choice,case_judgment,hard,AI 코딩 도입이 실패하는 가장 흔한 근본 원인은?,코드 리뷰는 AI가 완전히 대체할 수 있으므로 사람의 리뷰가 불필요하다.,AI 코딩의 성과는 코드 생성 줄 수로 측정하면 정확한 ROI를 산출할 수 있다.,"명확한 코딩 표준 없이 도입, 코드 리뷰 프로세스 미비, 보안 가이드 부재, 개발자의 AI 생성 코드 맹신, 기술 부채 관리 소홀이 복합적으로 작용한다.",AI 코딩 도구의 성능만 비교하면 조직에 최적인 도구를 선택할 수 있다.,C,4,정답은 C입니다. AI 코딩 실패의 근본 원인은 도구가 아닌 ①표준 부재 ②리뷰 미비 ③보안 부재 ④맹신 ⑤기술 부채 방치입니다. 리더는 도구 도입 전에 코딩 표준과 리뷰 프로세스를 먼저 수립해야 합니다. 리더는 조직의 AI 코딩 도입·운영에 관한 최적의 판단을 내려야 합니다. 리더는 조직의 AI 코딩 도입·운영에 관한 최적의 판단을 내려야 합니다. 이 문항은 L1 수준의 전략적 의사결정 역량을 확인합니다.,AXIS-C L1 AI 코딩 도입 전략·ROI,False,approved,배치1,1,,
